,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre,year
1574,0.903,0.439,8,-11.813,1,0.397,0.0407,0.0,0.138,0.532,139.112,0xl1w2q4VLojeXp4JfazPL,307593,4,4,2017
1575,0.766,0.234,11,-7.544,0,0.159,0.332,0.00156,0.358,0.256,96.882,6MbH1QiphMCPTqVEVC7UYi,153725,4,4,2017
1576,0.766,0.283,8,-10.33,0,0.0846,0.111,0.0172,0.115,0.144,97.04,6n3HGiq4v35D6eFOSwqYuo,219692,4,4,2017
1577,0.875,0.6,1,-6.818,1,0.0435,0.0189,0.0143,0.132,0.0906,119.987,2jTujnt0y344ai1rNOywgr,162638,4,4,2017
1578,0.526,0.583,4,-9.172,1,0.376,0.699,0.0,0.372,0.378,89.837,2Na0z2gfN67Rzf0vp74Wi3,305374,4,4,2017
1579,0.856,0.572,1,-8.429,1,0.373,0.0136,1.55e-06,0.121,0.454,82.445,5f5r2N4Lp9WoULWPH9zp2W,228438,4,4,2017
1580,0.688,0.384,9,-8.824,0,0.375,0.2,0.0,0.708,0.432,162.098,28irpKCCK9nn9DZSik2zEx,206120,4,4,2017
1581,0.468,0.266,0,-11.121,1,0.13,0.348,9.55e-06,0.209,0.222,153.294,5JUu0unA8VwhTZ9LkMWUVI,368036,4,4,2017
1582,0.928,0.481,9,-9.35,0,0.287,0.105,0.0,0.176,0.613,134.007,343YBumqHu19cGoGARUTsd,210937,4,4,2017
1583,0.813,0.551,6,-7.605,0,0.353,0.08,0.0,0.386,0.598,124.957,7bJ4mu7MHa3rHiNyKjOoSl,250770,4,4,2017
1584,0.618,0.693,7,-5.943,0,0.45,0.246,0.0,0.112,0.454,170.982,2KvHC9z14GSl4YpkNMX384,283551,4,4,2017
1585,0.555,0.596,9,-9.09,0,0.375,0.133,0.0,0.123,0.145,77.324,2yg9UN4eo5eMVJ7OB4RWj3,136187,4,4,2018
1586,0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983,0TlLq3lA83rQOYtrqBqSct,238614,4,4,2018
1587,0.758,0.474,1,-8.72,1,0.147,0.0152,0.0,0.116,0.0542,76.061,3szf2z1Cy1QMrtHrbn8rz9,184960,4,4,2018
1588,0.414,0.677,1,-5.12,1,0.254,0.0248,0.0,0.0793,0.0853,172.521,5Psnhdkyanjpgc2P8A5TSM,302173,4,4,2018
1589,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,6DCZcSspjsKoFjzjrWoCdn,198973,4,4,2018
1590,0.899,0.586,11,-7.866,0,0.343,0.279,0.0,0.0836,0.492,150.002,3qN5qMTKyEEmiTZD38BNTT,214467,4,4,2018
1591,0.527,0.689,2,-7.87,1,0.741,0.161,0.0,0.498,0.31,170.538,0zqy3ss4CwD6u4QPksS0nI,195720,4,4,2018
1592,0.754,0.575,4,-8.393,0,0.0682,0.045,0.00131,0.276,0.491,86.009,7rC5Pl8rQSX4myONQHYPBK,205147,4,4,2018
1593,0.761,0.598,10,-7.249,0,0.182,0.126,0.0,0.0839,0.446,173.897,1dUHF4RyMmMTveJ0Rby6Xm,163974,4,4,2018
1594,0.486,0.849,1,-5.432,1,0.246,0.0481,0.0,0.143,0.519,152.086,6cblRiEGDRNZgowcm951R3,216333,4,4,2018
1595,0.758,0.491,11,-9.877,1,0.138,0.00354,6.5e-06,0.292,0.334,140.121,4ksuI04WMvUnJbHQjgs3L5,223240,4,4,2018
1596,0.708,0.547,1,-7.607,1,0.314,0.727,0.0,0.159,0.549,83.8,1Tnw0ItH1Macok8gblnPPd,226907,4,4,2018
1597,0.687,0.218,9,-13.539,0,0.0388,0.85,0.000125,0.106,0.269,91.991,11L064movtyopGdLiX4sVg,206027,4,4,2018
1598,0.776,0.482,1,-11.269,1,0.0357,0.477,0.0456,0.11,0.134,136.008,4HG1YiGBseVKzjyKcmAJen,247893,4,4,2018
1599,0.764,0.271,0,-5.697,1,0.0414,0.037,0.0,0.175,0.0371,116.019,4c2xt1trwYZpMqPWY35Xi9,262453,4,4,2018
1600,0.585,0.909,8,-6.474,1,0.0707,0.0891,9.7e-05,0.119,0.758,93.372,3CA9pLiwRIGtUBiMjbZmRw,210747,4,4,2018
1601,0.807,0.319,0,-8.152,0,0.0581,0.133,0.000338,0.101,0.299,94.992,2WP8G2pdddDmnh1xbfKBOI,182080,4,4,2018
1602,0.657,0.571,2,-12.519,1,0.139,0.11,0.00123,0.0735,0.622,167.958,4SUwJA3eUVNHExxMPEUhQe,207307,4,4,2018
1603,0.85,0.473,10,-5.747,0,0.209,0.117,0.0103,0.108,0.38,85.454,41a7dZcq30Ss5kPMayWRV0,157605,4,4,2018
1604,0.889,0.372,7,-10.254,0,0.357,0.013,0.0,0.184,0.123,133.997,4n1bdaKwynQndm47x5HqWX,162800,4,4,2018
1605,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,2G7V7zsVDxg1yRsu7Ew9RJ,217925,4,4,2018
1606,0.822,0.318,10,-12.391,1,0.0575,0.493,0.0128,0.11,0.138,102.998,6G8kHiVZ1jW7vHMPVRNZU0,245787,4,4,2018
1607,0.687,0.429,2,-13.075,1,0.192,0.0407,0.0,0.142,0.336,141.966,3mvYQKm8h6M5K5h0nVPY9S,289560,4,4,2018
1608,0.5,0.449,0,-10.977,1,0.442,0.422,7.96e-06,0.115,0.104,144.206,44Du2IM1bGY7dicmLfXbUs,219960,1,4,2018
1609,0.558,0.414,10,-7.355,0,0.358,0.405,0.0,0.36,0.318,127.094,09lmraDvzBT3pUQ2rUtJzK,309560,4,4,2018
1610,0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,1gLZSds3LpmJ4PdjuhLes9,172693,4,4,2020
1611,0.476,0.397,6,-6.681,0,0.0317,0.53,0.0,0.0763,0.256,139.777,42eB4oaJ9vwsnxz1RFQUa0,173653,4,4,2020
1612,0.577,0.394,5,-8.015,1,0.0295,0.762,0.0,0.149,0.134,100.002,4KNhiasYZPGVnLaFDfL4xy,83413,4,4,2016
1613,0.57,0.73,9,-4.038,1,0.0412,0.0171,0.0,0.0488,0.22,104.609,42YsiqKPvv9grgip6s6N4E,220747,4,4,2016
1614,0.273,0.93,9,-1.398,0,0.05,0.0006,0.547,0.0865,0.0963,88.215,0USc9HxnInR9iDdYkXCmUI,258120,3,4,2016
1615,0.586,0.934,5,-3.553,0,0.169,0.0558,0.0,0.126,0.345,125.854,6qXoj75COFu1AYRlp9IZ7J,206667,4,4,2016
1616,0.604,0.856,11,-4.978,0,0.049,0.000274,0.00158,0.105,0.152,135.07,2F9HPttfXuGtXDFKsFVi83,263107,4,4,2016
1617,0.699,0.81,7,-4.446,1,0.0643,0.00919,0.0,0.123,0.246,118.054,0zThj8JX2unO3eCzhVIL0x,237973,4,4,2016
1618,0.541,0.927,1,-2.133,1,0.153,0.00208,0.0675,0.0743,0.426,150.01,2I82ykJMwAmpmSt5uaFVaj,222147,4,4,2016
1619,0.723,0.656,11,-4.549,1,0.0947,0.0418,0.0,0.657,0.498,169.961,0FmbBW7IzUdMMaydM4Umfu,217253,4,4,2016
1620,0.668,0.64,0,-4.293,1,0.0585,0.0265,0.0,0.178,0.0515,120.007,2WxyUG5BIjhiqfWFcdu3Qt,256387,4,4,2016
1621,0.664,0.935,1,-2.974,1,0.0887,0.00186,0.531,0.721,0.259,150.088,1bYb9rOIIiZ6d0zNlo56Xn,249520,4,4,2016
1622,0.425,0.589,6,-5.907,0,0.0439,0.516,1.71e-05,0.119,0.233,130.002,5lFrRad84zAv4Hgczvwfcg,213467,4,4,2016
1623,0.798,0.618,4,-6.903,0,0.0405,0.053,0.000102,0.139,0.406,116.003,0NRBB1Vyr9WTlUq0NuXwOL,222187,4,4,2016
1624,0.637,0.708,8,-5.349,1,0.0383,0.0688,2.66e-05,0.137,0.172,99.843,1DGggbNJ1rKcz0jG6h2RAV,205947,4,4,2016
1625,0.471,0.776,10,-3.867,0,0.0529,0.175,2.47e-06,0.116,0.234,159.782,2a6t1RRMUFInRx8O5opGjw,286867,4,4,2016
1626,0.655,0.67,10,-12.041,1,0.0981,0.00866,0.435,0.272,0.104,130.053,68Q9JY2GfWpb5u6njChWFy,201240,4,4,2016
1627,0.813,0.673,5,-8.948,0,0.0459,0.187,0.00189,0.11,0.851,97.98,5j7DmaPOvkIINSQGoD4WX0,247307,4,4,2016
1628,0.498,0.199,7,-11.011,1,0.0353,0.933,0.000573,0.493,0.47,76.046,138oQeapLds5IeJrdRfeUd,62423,4,4,2020
1629,0.442,0.631,1,-5.096,0,0.05,0.136,2.29e-05,0.133,0.129,139.774,6ZuahEctZD6w75peme58hm,172693,4,4,2020
1630,0.748,0.783,10,-4.419,0,0.0558,0.0167,1.58e-05,0.314,0.935,120.049,7nuQ1LgM6l5FLaJmlODoqj,160144,4,4,2020
1631,0.351,0.368,5,-8.132,1,0.0557,0.488,0.00603,0.124,0.362,84.224,385VOmGbguaPG57TgoW8Lh,150782,4,4,2020
1632,0.592,0.885,9,-4.944,0,0.0807,0.0505,2.38e-06,0.0843,0.731,98.991,5LZtB6nxvjIhUoElp3Zqk0,202357,4,4,2020
1633,0.53,0.79,7,-5.031,1,0.0344,0.0512,1.07e-06,0.122,0.438,146.09,6KVxMOxlSYpC5nrvyWhYhx,171078,4,4,2020
1634,0.492,0.672,2,-6.779,1,0.0366,0.539,0.000212,0.116,0.229,140.027,0bZFa5DZcx9HWx25m2Nd19,214751,4,4,2020
1635,0.328,0.393,4,-5.164,1,0.0285,0.0867,9.54e-05,0.104,0.237,96.241,2LUOkrWpTz1q5QeZY5jAHi,191888,4,4,2020
1636,0.64,0.392,2,-7.246,0,0.0574,0.0593,0.0,0.0839,0.502,145.838,1HbA4N1MiOsPthALesGFR1,178994,4,4,2020
1637,0.562,0.869,6,-5.38,1,0.058,0.205,0.0293,0.122,0.928,164.936,5ld8E3DVBXCCWQ54yrkWVp,189072,4,4,2020
1638,0.37,0.39,3,-6.958,1,0.0419,0.229,0.0,0.0823,0.309,124.802,56KDoLjFIm7Yc7fX1XgpNw,167194,4,4,2020
1639,0.757,0.628,6,-3.944,1,0.077,0.0147,0.0,0.05,0.609,100.004,5jpNBhgAk5OmfB0W5i5NaO,175781,4,4,2020
1640,0.359,0.585,2,-4.722,1,0.0374,0.0576,0.0,0.194,0.447,168.026,0UauNGiFTVXTsgvVz6LBMf,211851,4,4,2020
1641,0.412,0.162,0,-14.356,1,0.146,0.849,2.16e-06,0.354,0.375,179.63,2GwberkV36NoC5snp51cLC,149769,5,4,2020
1642,0.671,0.538,4,-6.436,1,0.0584,0.0329,1.26e-06,0.28,0.298,123.946,3fZVIxJjV4kXYynsz1G5lr,143747,4,4,2021
1643,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,6F9U58EHsIPgvQs5eb8O2J,229227,4,4,2021
1644,0.584,0.433,10,-8.822,1,0.0533,0.743,1.35e-05,0.106,0.14,143.994,4ml4WlnHDEpOK8HRVYTCWf,242013,4,4,2021
1645,0.472,0.202,2,-12.635,1,0.0995,0.938,0.0,0.126,0.445,169.023,4agPFCccTh7gIho2sNhsJp,163587,4,4,2021
1646,0.442,0.596,9,-7.272,1,0.109,0.584,6.62e-06,0.39,0.166,181.278,3ucQ4DLpH8RgyzqYBMnDpj,215507,4,4,2021
1647,0.562,0.643,9,-5.025,1,0.141,0.297,0.0,0.0848,0.672,166.814,6P4d1NWBCNIYZjzF9k1mVN,178147,4,4,2021
1648,0.638,0.259,7,-10.706,1,0.0898,0.753,0.0,0.219,0.269,88.485,3T8KVPcFVyyzswMnS8NC8t,202827,4,4,2021
1649,0.399,0.451,6,-9.731,1,0.172,0.788,7.26e-06,0.0839,0.311,168.836,3JJneCSDh1685L9OVvTiIo,175933,3,4,2021
1650,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929,2dzydxg33Wh5jEtHxhAc60,173160,4,4,2021
1651,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,61W7tEpxEfmizp6V5ZRN10,152667,4,4,2021
1652,0.443,0.298,0,-12.181,1,0.0644,0.388,1e-05,0.103,0.172,77.253,1QnqdRLbL6yxHFirIokIMg,209560,4,4,2021
1653,0.623,0.206,10,-8.617,1,0.0384,0.909,0.0,0.0971,0.304,110.614,0hQQgpXCtj19IiIh6NhljO,165347,4,4,2021
1654,0.734,0.687,7,-5.418,0,0.0516,0.004,0.00198,0.409,0.722,116.93,5oFFNHnzOi3ckFad4MvG1e,156168,4,4,2021
1655,0.619,0.146,8,-14.439,1,0.0382,0.808,0.0,0.0971,0.288,139.533,0qBug5X3DaJv2zgXtp55wn,221587,4,4,2019
1656,0.797,0.64,11,-6.272,0,0.194,0.148,0.0,0.209,0.486,100.002,0fcq51a3gOI6gPvzc0YLsk,170053,4,4,2019
1657,0.623,0.673,8,-8.252,1,0.0613,0.0537,0.65,0.155,0.384,124.01,3TTMESPMxybEdsMsP1f8Xm,170323,4,4,2021
1658,0.719,0.69,1,-8.892,1,0.0582,0.0459,0.625,0.106,0.35,124.002,5eBF0gdCqqb6wlEW42Ps5r,363871,4,4,2021
1659,0.477,0.422,6,-10.389,1,0.174,0.939,0.0361,0.107,0.0815,87.269,4Oqhd37CXCG6qYbmHGzJJ5,176173,4,4,2019
1660,0.597,0.696,1,-6.799,0,0.0823,0.387,0.000762,0.126,0.427,67.526,7i2X27hQnVtr5emUBXMnnz,290787,4,4,2019
1661,0.565,0.535,8,-5.158,1,0.386,0.537,0.0,0.165,0.22,159.909,3tbqvZYf7mcIrbLvjzokhv,375053,4,4,2019
1662,0.794,0.717,9,-4.629,0,0.0325,0.00454,0.301,0.146,0.937,127.446,3baJKX6yyPUT92zNStX5z6,234173,4,4,2019
1663,0.756,0.451,11,-11.287,0,0.47,0.588,0.0,0.0942,0.555,143.864,2vHmE2q0EYbw0F8asrHPmW,188187,4,4,2019
1664,0.622,0.844,10,-3.759,0,0.269,0.165,0.0,0.455,0.12,94.449,2h65kdqlhMRtp5l5qIFA9v,302493,4,4,2019
1665,0.565,0.502,11,-5.594,0,0.0793,0.362,2.32e-06,0.164,0.332,103.418,1bMYRdTXYdj7KSu4r0O3IQ,193973,4,4,2019
1666,0.545,0.755,8,-5.438,1,0.257,0.66,0.0,0.209,0.481,115.029,2p0KdK06O9KUMCQ0gsFF0P,230707,5,4,2019
1667,0.76,0.887,11,-4.902,0,0.038,0.107,0.0242,0.668,0.783,120.396,1uBaQNOsRatk1bBTBJnKek,230493,4,4,2019
1668,0.441,0.929,5,-2.199,0,0.337,0.203,0.0,0.165,0.546,162.395,4AcScHuxr9xAqqyxxTMAhu,257680,4,4,2019
1669,0.775,0.906,2,-2.806,0,0.337,0.159,0.0,0.773,0.841,150.08,3DQb8H8mBaxXtrpwZWfen1,209960,4,4,2019
1670,0.433,0.82,1,-3.136,1,0.329,0.00371,0.0,0.0852,0.405,87.076,6xTROKXoqNjGhFNIjfoDO2,382267,5,4,2019
1671,0.691,0.498,0,-5.716,0,0.144,0.191,6.73e-06,0.107,0.534,94.99,12iCwfAxGDFvpU7aTusAle,262040,4,4,2019
1672,0.456,0.509,2,-6.204,1,0.0895,0.205,0.000652,0.122,0.239,147.154,3x8P00PKvIL9w7Z3XI9zyW,139587,3,4,2019
