danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.513,0.852,11,-5.66,1,0.0548,0.0472,0.0,0.0951,0.382,155.056,7H3wZikaMxA1D3ipMy8evb,218789,4
0.515,0.991,4,-4.688,1,0.106,2.61e-05,2.51e-05,0.369,0.256,139.967,2d89eYXwQJm0k4I87nYk9P,225964,4
0.497,0.894,4,-6.628,0,0.0307,0.0014,0.0,0.0754,0.545,156.074,2xPWtgmqkjxDxfr3YKkXkq,227309,4
0.433,0.986,9,-3.683,0,0.112,0.00131,0.0,0.245,0.104,164.1,224wA4Sh6Q1i7nH2w1nOnr,236755,4
0.615,0.995,1,-4.301,0,0.0812,0.000296,0.00138,0.362,0.501,127.003,4aeF8ZdLZNPgfzRD4bLrFL,151997,4
0.502,0.737,10,-7.572,1,0.0407,0.000374,5.07e-05,0.153,0.277,106.05,57nTFMsSiVATCDPZm9JF4S,275213,4
0.499,0.973,6,-6.139,1,0.147,0.00986,0.0,0.865,0.448,170.108,13guv6JxFZ04Gok9YRVu5O,229404,4
0.477,0.937,4,-5.235,0,0.0294,7.63e-05,0.0,0.144,0.592,159.938,5wzzFliPT5D8JixX2WoY1o,236438,4
0.566,0.976,1,-4.656,0,0.135,7.42e-06,0.0,0.328,0.574,129.951,6V1vUhgKlGIf5jly5w39QW,239120,4
0.582,0.968,7,-4.554,0,0.0509,1.23e-05,7.77e-05,0.24,0.538,119.975,5rDYeAqtqqzIyzer8zqLAQ,207422,4
0.476,0.47,5,-11.326,1,0.0485,0.857,0.0,0.976,0.345,124.474,2tFykPvhvN1AdUkeQQLCuV,350480,4
0.369,0.978,2,-4.755,0,0.0764,0.0456,0.000129,0.942,0.658,123.739,7lJ8AcD7hEnTBLz1sixHey,230253,4
0.302,0.932,4,-6.103,0,0.324,0.074,1.53e-05,0.983,0.273,129.608,0iknUVjF5tojBSTqC3pL0S,455907,4
0.373,0.73,4,-7.283,0,0.0841,0.325,0.0,0.461,0.22,133.48,5ymKK4A0mInBFBKYJjRXTj,375400,4
0.332,0.945,9,-5.471,1,0.139,0.0184,0.00705,0.709,0.537,106.165,0dhsKLr6aJNpHTvsgRI2j5,323027,4
0.144,0.99,9,-3.64,1,0.257,0.0139,8.59e-06,0.978,0.591,160.904,0hdPw0RRNCFFnCuYxLS59D,256853,4
0.397,0.483,7,-9.249,1,0.0561,0.12,0.000392,0.933,0.524,147.85,1XobP3s3u53mtkls75CsUM,771307,4
0.237,0.925,2,-6.028,1,0.34,0.0664,0.000361,0.719,0.407,158.569,6iqlxdQjvNlAuUrHCgMau8,327773,4
0.241,0.856,7,-5.224,1,0.0378,0.00958,3.45e-06,0.585,0.298,94.285,1HLbfFVLMVPphzckhhHdyi,442120,4
0.267,0.969,4,-6.162,0,0.109,0.000496,0.113,0.983,0.587,80.036,40t9J3bHtmX6mOHjZTQe8N,1034427,4
0.301,0.696,10,-7.922,1,0.0649,0.0839,0.000586,0.973,0.181,144.511,6oYzuOipuYP9ZpOgWmVAKP,575933,4
0.178,0.979,5,-5.522,1,0.296,0.00211,5.76e-05,0.929,0.308,168.744,7An0G5kTdjJrhd9uh8kfdh,591613,4
0.233,0.622,0,-7.156,1,0.0444,0.162,4.12e-06,0.293,0.545,174.235,0YM8m2dJ9DKiUO6ZnGzYu6,423200,3
0.238,0.985,9,-5.214,1,0.247,0.0348,0.000376,0.76,0.33,163.716,6FKhpbg9wqiztNQp5q6Hxb,422560,4
0.405,0.171,5,-12.136,1,0.0449,0.951,0.0,0.953,0.154,78.627,5OJSOpqtBwoexsDgGb61zo,506107,4
0.189,0.979,4,-5.151,1,0.224,0.0306,0.00191,0.69,0.367,91.846,2sy0R1slj9T7vDeq33C1Eg,404840,4
0.714,0.858,6,-5.035,1,0.0471,0.0333,0.0247,0.0468,0.603,146.025,5CXqYKQgAy2U1p8JeyLgwo,211453,4
0.516,0.755,5,-3.724,1,0.0383,0.0633,0.00103,0.107,0.165,140.099,0zMAvsQmaQ4DGsmXtKixpn,262173,4
0.722,0.637,2,-4.348,1,0.0339,0.0113,6.73e-05,0.0802,0.563,117.063,7owLKqcmqT3IS0oHyIND6F,278400,4
0.57,0.45,11,-7.584,0,0.0289,0.532,0.00327,0.0856,0.0892,80.998,7MLt0OcAchkTlrQ7tQ9ra0,241667,4
0.547,0.614,11,-5.801,0,0.0233,0.228,0.000451,0.13,0.233,97.438,0p6UtCJowkcj4IXuQiOTQp,207960,4
0.596,0.633,10,-3.602,0,0.0594,0.131,0.0,0.343,0.473,148.09,0VmREvheUiN0xgM5fJYQqp,213573,4
0.606,0.618,11,-5.1,1,0.0258,0.325,0.0019,0.108,0.237,92.061,3vZUC1m6QVm7urnN6lcF64,285987,4
0.527,0.922,9,-2.666,0,0.0728,0.00475,0.000162,0.422,0.49,95.975,2kS6td1yvmpNgZTt1q5pQq,181680,4
0.664,0.797,7,-4.473,1,0.0362,0.194,0.0,0.337,0.284,97.004,2y51QpLzI5qbWfCcSx9Tu1,194320,4
0.687,0.646,4,-3.841,1,0.039,0.0973,0.000593,0.161,0.323,139.978,1rRwwqteLePmi70PGaC8ah,216667,4
0.612,0.581,5,-6.041,1,0.0365,0.206,0.0037,0.124,0.384,178.146,3Pu0pOciPNbaTdfVY5538p,195973,4
0.299,0.469,5,-6.488,1,0.028,0.0783,0.00445,0.115,0.0592,91.092,1cSgnOFHPaWp6b3FHOjmP5,347307,4
0.377,0.96,6,-4.6,1,0.0647,0.0514,0.112,0.979,0.347,120.585,7GR4D2BKzURTfIwKcn9wR0,184040,4
0.397,0.913,7,-5.249,1,0.0518,0.00437,0.0263,0.878,0.44,123.942,0xwrI6D4Mg9zj3Yl8pBCiz,326720,4
0.178,0.931,6,-5.281,0,0.0771,0.00426,0.0248,0.99,0.238,87.518,4F0cV3CVd5Wv7MBNSRJLlP,329120,4
0.123,0.925,6,-5.938,1,0.121,0.007,0.146,0.956,0.351,73.722,6PeVrAiBXfR2awQzcKx2zg,237507,4
0.405,0.924,11,-6.044,1,0.0585,0.00526,0.0608,0.562,0.481,120.549,4Dnzspv8udG7Zoo7Rtyo2J,287400,4
0.182,0.888,6,-6.905,1,0.0795,0.00104,0.014,0.866,0.296,166.173,0RAFgfGiWXqkmwlqXW8KX5,273867,4
0.278,0.928,6,-6.298,1,0.105,0.0987,0.00697,0.99,0.283,103.842,5c6qzelRHCug71RP0DMjJL,456827,4
0.347,0.886,6,-5.796,1,0.142,0.143,0.132,0.976,0.46,130.45,1WW0wonLdF06FDmO6G0ycz,1135280,4
0.337,0.975,1,-5.074,1,0.125,0.00256,0.00926,0.971,0.354,94.468,6UbZEiLMtt2icLF6GZtfhz,194627,4
0.274,0.804,6,-7.524,0,0.0906,0.0015,0.0827,0.964,0.258,150.666,7oFxPQlNji4pxR2jMbJupx,506000,4
0.253,0.941,4,-4.945,0,0.159,0.00561,0.00843,0.973,0.189,123.75,3wiVf3DUyocGimtyz3uMc6,286760,4
0.23,0.964,9,-5.91,1,0.124,0.0574,0.0246,0.937,0.0726,98.113,0auj0qPsF7bpQxJlwPqC7N,292360,4
0.189,0.969,11,-5.367,0,0.226,0.0443,0.000114,0.954,0.0937,156.603,2HvZAt9r3r7KNPJpY36kzV,593667,4
0.18,0.898,6,-5.181,0,0.108,6.5e-05,0.321,0.317,0.407,162.165,39iq5xigDMQpRJHCkTkuYr,385880,4
0.375,0.476,7,-9.446,1,0.0362,0.00321,0.548,0.744,0.107,109.972,7dcOBoL4fox8MVfOO7HJPs,503640,4
0.378,0.906,4,-5.887,1,0.0753,0.0658,0.11,0.492,0.584,102.872,2hzrY5vvHekjYW1v13MwvO,332053,4
0.312,0.886,3,-5.916,0,0.168,0.00559,0.482,0.742,0.629,102.098,29CbX23QLwgm50MTLNaxzj,303280,4
0.291,0.895,2,-5.731,1,0.0846,0.00986,0.345,0.728,0.526,143.644,61EDVtKlolfLlBOyHx60xV,399693,4
0.255,0.54,8,-11.762,1,0.0377,0.426,0.000166,0.0911,0.213,165.569,2RYQndHZheSY1hn6k2SZSk,320621,4
0.623,0.664,5,-9.265,0,0.0475,0.582,0.000223,0.142,0.743,119.868,3QU2J5fqRRLz2grnN1A02H,251160,4
0.422,0.589,1,-9.779,1,0.0534,0.629,0.0207,0.0622,0.303,125.158,5uXqNSAXkqUAEjeq4X33dm,350507,4
0.568,0.535,0,-9.34,0,0.0313,0.513,0.0,0.0723,0.714,75.111,4i45nlSJF6S79N5KXa7EH9,159289,4
0.607,0.751,9,-9.462,1,0.029,0.257,0.00173,0.0646,0.633,127.035,6S7FEi76oufTsi0HMCetN1,238000,4
0.42,0.639,5,-10.596,1,0.03,0.243,0.000231,0.0861,0.334,76.925,1QrHI1Qz04N7RHRFprGVAQ,308067,4
0.406,0.199,9,-11.402,1,0.0263,0.678,2.94e-05,0.0972,0.174,75.044,3AQjGF7Qpe8SPQAQ4OfFeC,249933,4
0.351,0.709,3,-8.559,1,0.0463,0.442,5.24e-05,0.089,0.517,151.167,0eVwLmrype34cBRm6MU0Xy,265667,4
0.618,0.382,7,-14.648,1,0.0272,0.769,0.00838,0.0957,0.381,109.071,4zXCn2ehaDQ0WB2wjrxtiW,178794,4
0.492,0.8,0,-9.089,0,0.0399,0.505,0.0743,0.0624,0.873,87.118,1nf304abupiVMdyQMdeXWy,448840,4
0.597,0.848,0,-4.306,1,0.0287,0.000262,0.0332,0.0995,0.141,130.002,6aQ2Xtx7z1p2VM9w26yCZq,219721,4
0.291,0.942,11,-5.566,0,0.16,0.0234,8.51e-05,0.984,0.183,167.998,4pNA1fo6jj3K3w9EKYvnWw,352072,4
0.427,0.961,0,-5.003,0,0.0454,0.00853,0.000208,0.98,0.484,154.066,5hh0yRDduqchTFMiM9swmn,278202,4
0.474,0.975,3,-4.225,1,0.0692,0.16,0.0,0.984,0.575,145.037,2vdAFtSP0t7QiAy58phriW,245458,4
0.318,0.974,4,-5.265,1,0.0759,0.00907,0.000158,0.969,0.649,180.021,2YGZPHXc6VLsBPaDZ8PoXy,344425,4
0.346,0.939,9,-4.922,1,0.0773,0.0256,0.00128,0.839,0.499,95.308,5SbwEZ6LsbTjF6wgrfGdqO,435008,4
0.462,0.847,4,-5.953,1,0.0408,0.2,2.6e-06,0.834,0.29,116.162,6g9IjbTVnzoXxbirDYEZNH,382636,4
0.301,0.995,4,-3.551,1,0.16,0.00338,0.000171,0.97,0.309,185.858,5sH1Yl04Khwr0b3a2Ot4Kw,234579,4
0.308,0.736,9,-8.912,0,0.139,0.356,0.0,0.658,0.404,77.477,2nMA1dzmJjSxFkeFMCscBG,456702,4
0.378,0.907,9,-6.458,1,0.0584,0.0375,0.000509,0.45,0.265,88.037,5NcmoA0GIgQDsk5BxsXrGo,427974,4
