,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,genre
1170,0.776,0.457,1,-8.34,0,0.0571,0.221,0.0,0.112,0.703,128.909,3kq4Mn8fYtCrwFFpK8aHW1,141395,3
1171,0.679,0.501,4,-7.733,0,0.0568,0.337,0.0,0.101,0.427,83.994,5BfOLImchCKvCojrjzodyq,162857,3
1172,0.511,0.64,0,-6.772,1,0.239,0.0857,0.0,0.102,0.382,100.084,5dH8BJgzKLS33g9fz7TIEs,198400,3
1173,0.803,0.612,1,-6.27,0,0.0659,0.192,0.0,0.111,0.481,140.113,1aCOQn7E5pb36CgLus3UqT,195429,3
1174,0.919,0.749,1,-8.589,1,0.217,0.00446,0.0,0.0771,0.684,140.035,01oDECPfif2UO4snu3GPk7,164465,3
1175,0.719,0.676,5,-9.928,1,0.557,0.0573,0.0,0.142,0.273,149.926,660D5zldnu054UBgef5aNn,144000,3
1176,0.585,0.731,7,-7.418,0,0.267,0.255,0.0,0.275,0.328,160.052,7v7AdZsgXZCcvJJ7xogFSY,148824,3
1177,0.839,0.542,0,-11.746,1,0.231,0.107,0.0,0.0921,0.633,84.993,0yJA8s0k5HRtY7mBHma02j,154008,3
1178,0.495,0.642,4,-11.285,0,0.344,0.023,0.0,0.0765,0.249,159.426,6jVLXFL3Wiqo2KPkSbacpU,183000,3
1179,0.672,0.335,0,-12.764,1,0.498,0.0922,0.0,0.103,0.449,157.836,50cE4irIF83DoSiFAhyhlD,203232,3
1180,0.876,0.78,7,-5.56,1,0.0611,0.00624,0.0,0.321,0.849,114.995,7ufbeuyLE4dhBaM39fWV3d,184882,3
1181,0.795,0.766,11,-5.577,0,0.0987,0.0133,0.0,0.0955,0.642,123.921,2ThsBNtjuUEERqcpXQEoYR,183290,3
1182,0.656,0.752,5,-5.085,0,0.0545,0.143,1.05e-06,0.0981,0.789,90.483,5cHd96gd04JFn1wBhhPjVU,209583,3
1183,0.643,0.813,0,-4.819,1,0.0492,0.0168,0.000344,0.103,0.747,146.983,33rh7azo556EGptA220qxT,193829,3
1184,0.695,0.864,6,-3.352,0,0.0716,0.0569,0.0,0.215,0.895,103.024,5uu0D02efCoFMQiLYFT32e,203808,3
1185,0.906,0.446,1,-7.168,1,0.177,0.0336,5.57e-06,0.284,0.676,106.981,5oOs48rFX5f56FBrYImCa6,194607,3
1186,0.621,0.659,10,-6.446,0,0.153,0.03,0.0,0.073,0.656,122.058,4anGjxThuwRHSRBx2xJfC8,208505,3
1187,0.66,0.634,11,-5.715,0,0.0339,0.00174,3.17e-05,0.1,0.507,116.011,45BZcKdKl8OXpuGSlSvEun,258004,3
1188,0.729,0.693,4,-4.47,0,0.0896,0.167,1.06e-06,0.331,0.49,112.975,5YDD6DuZ04mKQtm0avJTJd,221820,3
1189,0.688,0.671,5,-6.05,1,0.0982,0.124,0.000131,0.167,0.628,93.983,5cUy95UnIcn56gRPx0q3be,218754,3
1190,0.761,0.45,3,-7.001,1,0.036,0.387,0.0,0.0972,0.539,125.099,0wbx3ZJg2hMxydBGH37quB,166266,3
1191,0.708,0.796,6,-4.821,0,0.061,0.00886,0.0,0.0668,0.923,103.026,49gruEYzuJZoy4R2q5xVlT,203064,3
1192,0.87,0.676,6,-7.481,0,0.272,0.0861,0.00999,0.105,0.417,115.007,6m4twj3OSqtIW67d3XBHp1,156911,3
1193,0.452,0.783,0,-4.826,1,0.049,0.324,0.0,0.506,0.152,99.459,0oPoHXgGQ3RfbZcHScPFpb,228000,3
1194,0.725,0.446,11,-11.163,0,0.202,0.0611,0.0,0.125,0.16,126.922,19DzFC8TyQ3i2c5875TNfK,107717,3
1195,0.759,0.538,8,-8.256,0,0.384,0.151,0.0,0.126,0.831,146.933,7FGdjbZ32vMybPuP0IuE7d,184490,3
1196,0.823,0.449,6,-7.215,0,0.156,0.101,0.0,0.0813,0.615,145.149,4oPPNAmPSAwrfvT2I9VGHy,192000,3
1197,0.878,0.524,4,-8.312,1,0.363,0.124,0.0,0.118,0.806,149.145,1YL2Gvo36BnxY8mGzjLWHd,181211,3
1198,0.728,0.623,2,-8.066,1,0.305,0.0391,0.0,0.214,0.805,145.973,2xlOJSbScxrHHOmlNmILpD,171781,3
1199,0.771,0.451,0,-11.566,1,0.376,0.0109,0.0,0.333,0.496,137.987,2XYo1RByOHmVkC8zfmnPP6,180870,3
1200,0.71,0.477,2,-7.704,1,0.204,0.0758,0.0,0.235,0.512,137.102,5huLwDFB9LKjp5BrvD1BwJ,143977,3
1201,0.797,0.605,2,-7.9,0,0.377,0.144,0.0,0.35,0.518,139.963,7iMSOLaGijc7I6RcF6igti,185402,3
1202,0.733,0.514,11,-8.75,0,0.31,0.0415,0.0,0.103,0.411,139.0,7jNQveQrPimBt9aiq34jSI,207194,3
1203,0.742,0.489,2,-6.513,1,0.237,0.0427,0.0,0.161,0.29,136.181,0FZO4ee8k18TACoFLinNKv,187104,3
1204,0.727,0.342,1,-11.8,1,0.368,0.0565,0.0,0.133,0.216,139.968,69TsB4aUSSda9Qg37ojZE9,198880,3
1205,0.729,0.373,2,-11.032,1,0.2,0.0779,0.0,0.246,0.19,100.058,3Vjih1kWBBfZWIDs20KPHx,150400,3
1206,0.793,0.494,2,-8.924,1,0.324,0.0608,0.0,0.215,0.353,140.151,0GpjGig98xyc72OyXEqAEF,150857,3
1207,0.67,0.574,1,-8.05,1,0.0829,0.411,0.0,0.154,0.39,135.973,1bOdo6spztldIQlD06hIz6,155294,3
1208,0.72,0.429,11,-10.265,0,0.103,0.0303,0.0,0.363,0.245,127.941,1RklEWBK63aXpI3QEqcQG4,150000,3
1209,0.704,0.521,1,-9.361,1,0.273,0.157,0.00164,0.0975,0.546,144.084,6PDiL8QLrNj1Bi85vkZTcK,200016,3
1210,0.823,0.443,2,-8.539,1,0.329,0.0768,0.0,0.156,0.389,140.048,2Tj4wndrIUIN86FSZQispq,193515,3
1211,0.684,0.82,0,-5.495,1,0.0307,0.0216,2.33e-05,0.44,0.62,118.062,73BQq5xdTqZal05OkBysrf,215627,3
1212,0.515,0.727,1,-5.961,1,0.0592,0.00157,0.000141,0.0883,0.344,170.98,1osaeyoush18TPCnoCf0ZK,200046,3
1213,0.667,0.721,7,-5.35,0,0.0331,0.00251,7.11e-05,0.0754,0.704,100.014,18TPU4ndzn0QNapCyeFvmb,237522,3
1214,0.706,0.775,9,-5.527,0,0.0447,0.12,0.0,0.0884,0.601,107.949,4kkqw3ngymDD9DC24yzBjW,213525,3
1215,0.774,0.814,0,-5.932,0,0.123,0.418,0.0,0.0862,0.56,92.976,3ZePGAbZTqIkZzk09FNB2N,269177,3
1216,0.677,0.592,7,-7.108,1,0.28,0.134,3.24e-06,0.174,0.527,186.044,0pNinHgutw1Q0ctKTH9e9z,230461,3
1217,0.735,0.679,2,-4.971,1,0.0856,0.0863,2.42e-05,0.112,0.195,100.603,3DCi8Ohp4BBRmy0xWhRba9,211421,3
1218,0.615,0.755,1,-5.42,1,0.0682,0.0285,2.17e-06,0.116,0.223,85.086,5RTQ0nPnqTSP3DrqNEklkg,198267,3
1219,0.367,0.569,7,-10.149,0,0.0526,0.277,0.0,0.117,0.076,133.774,2Q2QXuae8X0AYbJZMbw0ZY,249109,3
1220,0.57,0.56,0,-7.06,0,0.0644,0.075,0.0,0.129,0.116,113.02,2mttzrlaCCkvd81C3uXrpN,242291,3
1221,0.474,0.582,1,-5.195,1,0.0347,0.174,0.0,0.307,0.163,134.08,2pWvO4JL7WODQHLKV0WD3M,228382,3
1222,0.434,0.528,1,-7.152,0,0.0798,0.111,0.0,0.157,0.445,65.687,6jl4C5KnJ8PAbQgamwEsPG,260256,3
1223,0.658,0.282,7,-8.29,0,0.0353,0.441,0.0,0.0742,0.394,119.769,0oxtAugCjwyiQg1V8l6uQd,277724,3
1224,0.469,0.704,1,-4.391,0,0.0327,0.0102,0.0,0.0765,0.219,99.117,0TmrhQAcZXeOwsLLZfNSy6,236041,3
1225,0.386,0.497,7,-9.934,0,0.0511,0.445,0.0,0.0909,0.239,105.921,0TLdsdxFpWlidrBHBTJcRK,348883,3
1226,0.629,0.591,9,-5.306,1,0.0342,0.0078,5.83e-06,0.241,0.312,114.07,6tilMluSDpuJ6KAoaHooTG,324130,3
1227,0.659,0.519,6,-8.241,0,0.0363,0.34,1.12e-06,0.105,0.181,120.032,6SOoo9L5c7j2cDz2rwXxdb,315750,3
1228,0.657,0.573,5,-6.104,0,0.0308,0.0813,0.00698,0.123,0.142,108.983,2ql6cjmPqxZILNMXaM3u46,361025,3
1229,0.645,0.64,10,-6.871,0,0.179,0.395,1.04e-05,0.286,0.674,140.248,1Noe5fcm9FT2gcbDKJdBV1,48000,3
1230,0.713,0.605,11,-7.487,1,0.107,0.497,3.46e-06,0.115,0.432,142.025,25Wq1OwZyKLMjVNXIhzVlV,175756,3
1231,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,6IParsannfwoLCcNSfxQPh,190476,3
1232,0.8,0.564,8,-5.817,1,0.4,0.0287,1.65e-06,0.112,0.318,139.989,26D2eFWhzC3GnL4lYwfKRm,150857,3
1233,0.548,0.506,4,-7.434,0,0.102,0.203,0.0001,0.0788,0.557,119.987,47k25JWFG1aLiaDjkIH10g,160000,3
1234,0.717,0.474,5,-8.383,0,0.403,0.0509,0.0,0.139,0.448,123.906,26eBPBSBwwK7AXdOYOQdM0,185804,3
1235,0.794,0.717,7,-5.73,1,0.251,0.0511,0.0,0.195,0.372,141.881,6BYPomivIjWbWAvrhplZCx,202816,3
1236,0.944,0.579,8,-4.961,1,0.191,0.0381,0.0,0.253,0.769,135.033,0X3SZlDR1k8tf2W8ENyMBD,259346,3
1237,0.5,0.767,1,-4.105,1,0.403,0.162,9.79e-05,0.385,0.58,159.477,3HnPbz5IlXUMuKpPzugLNt,202443,3
1238,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,99.7,1EI5fPYwbCLDaxFHe7nFM2,201600,3
1239,0.831,0.762,11,-5.656,0,0.207,0.0885,0.0,0.107,0.495,99.999,1wYbhJBsA8CiqKvtJUFf1L,192000,3
1240,0.764,0.676,11,-6.761,0,0.0927,0.389,0.0,0.215,0.461,97.02,5pFn569bgXKoKIaF3LSfaI,197938,3
1241,0.48,0.602,10,-6.335,0,0.368,0.487,0.0,0.0848,0.269,179.798,3mZNztgWFsvm9wfcqSOdKg,213333,3
1242,0.739,0.616,7,-6.963,0,0.0338,0.252,1.93e-06,0.101,0.654,91.071,3yisGOceXfWUbv0DQ8n05e,158466,3
1243,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,2tDDQv6havDcaAEizQAwap,160000,3
1244,0.794,0.792,7,-6.889,1,0.186,0.22,0.0,0.0998,0.546,126.994,5nCL0ULKVpkeJdQJ4UYVAI,188976,3
1245,0.688,0.647,2,-7.258,1,0.19,0.00815,1.65e-05,0.095,0.195,88.834,2UYGC1AQpguCOBJRQUOeeU,164580,3
1246,0.718,0.66,2,-7.39,1,0.325,0.363,0.0,0.159,0.659,142.879,7bTSZA64kmmd2biBbcsCUk,132587,3
1247,0.676,0.746,7,-7.837,1,0.344,0.0893,0.00157,0.412,0.675,142.035,5UuU1fZixqwZRwjHYzWP0l,216244,3
1248,0.688,0.61,11,-6.79,1,0.109,0.198,0.00154,0.114,0.201,88.995,5xKXcU8tpSYz7C7wrMMYec,151011,3
1249,0.877,0.656,2,-5.823,1,0.417,0.148,0.0,0.16,0.535,139.883,7kFMvM2gUzVeW2ZlkKRhzu,96041,3
1250,0.658,0.769,11,-5.16,0,0.279,0.245,2.15e-06,0.313,0.611,140.042,6JzyJgeHSRS4aYiK5gt02M,192000,3
1251,0.789,0.777,11,-5.69,0,0.132,0.0526,0.0,0.453,0.935,142.109,7KUb9G3NNqbQ8NPb2ccU3s,182535,3
1252,0.792,0.708,11,-5.166,1,0.0738,0.0957,4.87e-05,0.333,0.444,140.074,3liqOtIOxObydJiqru2wr8,181714,3
1253,0.696,0.618,6,-6.696,1,0.197,0.166,0.0,0.108,0.812,115.019,434baZo99jvOx6y6oFeQZQ,208695,3
1254,0.704,0.542,7,-6.277,1,0.0326,0.577,0.0,0.118,0.371,89.982,0fj9oGrCKxVA4sXDxvbfiM,170670,3
1255,0.774,0.513,7,-5.024,1,0.0778,0.907,0.0,0.11,0.324,91.03,42er1na9BHF1ERol51wg8M,108132,3
1256,0.791,0.795,1,-4.792,0,0.146,0.319,0.186,0.0864,0.776,108.004,3qzSfoByowr6tDfd08b0T0,155277,3
1257,0.568,0.646,2,-4.369,0,0.219,0.231,0.0,0.12,0.24,143.877,3QqJ44HiM84iyZS0G2IKIP,212658,3
1258,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.367,130.97,2r6OAV3WsYtXuXjvJ1lIDi,190534,3
1259,0.703,0.754,6,-7.103,0,0.136,0.0226,0.000744,0.201,0.57,140.101,2SojLecJPW9zlNiwzDWmPv,202286,3
1260,0.544,0.484,5,-7.269,0,0.411,0.0575,0.0,0.139,0.413,120.24,0VmbpCPAVUrZA4NQNNg5o6,216774,3
1261,0.796,0.792,7,-5.616,1,0.184,0.246,0.0,0.101,0.56,126.991,2FcxERmTy16Z6SIX31cBVc,234331,3
1262,0.773,0.688,11,-6.935,0,0.146,0.454,0.0,0.214,0.441,96.955,6QzkbRRLWTEcFE0NyOX1Dt,197938,3
1263,0.874,0.789,1,-6.302,1,0.0903,0.0948,0.000151,0.0768,0.836,127.059,7avreNC8Af4ifQDk8CGJOz,164000,3
1264,0.621,0.304,4,-8.93,0,0.0566,0.746,0.0,0.0889,0.481,84.974,46fjpfoDF1eRm9CQ0V1oYY,63486,3
1265,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,2RixC0eDuqn44mmM9OJOUp,205458,3
1266,0.808,0.639,1,-7.266,0,0.279,0.0802,0.0,0.15,0.395,118.0,05bcw8n2kOlB7jpaXC41zo,144349,3
1267,0.88,0.575,6,-6.091,1,0.163,0.415,0.0,0.109,0.671,120.031,5pmvv42h1bcK3frE8CEblt,232048,3
1268,0.587,0.497,5,-10.454,1,0.507,0.733,6.84e-06,0.336,0.57,111.929,7d3w0qXjw5hWq9jNFIOh9j,138409,3
1269,0.671,0.736,1,-4.43,1,0.119,0.314,0.0,0.0846,0.254,87.817,7mHDoBmNBBYULUR97ODD0u,171860,3
1270,0.823,0.579,1,-8.516,1,0.356,0.134,0.0,0.117,0.248,139.913,7v7lOuwT4n316SdGeXfwFU,260498,3
1271,0.807,0.541,4,-7.307,0,0.169,0.39,0.0,0.383,0.447,95.024,0JiYu6bnnVadvNq7L2irkZ,214536,3
1272,0.785,0.611,8,-6.819,0,0.218,0.00495,0.0,0.11,0.539,138.971,0JZYNcvE6wXH7WJ2Cz6nQg,193381,3
1273,0.712,0.404,5,-7.594,0,0.12,0.32,0.0,0.121,0.548,139.991,1A2IjwjlH6GXXlVhdbanCU,222367,3
1274,0.69,0.591,11,-10.025,0,0.0658,0.0168,0.0,0.126,0.234,106.105,7uDkaEYlGVTK3D5ZIPSL2Z,228000,3
1275,0.597,0.434,11,-10.161,0,0.648,0.613,0.0,0.093,0.6,80.233,2E2ly4xudpP3jhdP11igTL,99755,3
1276,0.838,0.495,1,-6.574,1,0.118,0.0677,0.0,0.136,0.107,157.976,2puWioMdMtPUtslVtGLQMj,181082,3
1277,0.593,0.512,8,-7.837,0,0.0737,0.58,0.0,0.0996,0.192,95.733,6niegWhPAzSvYFu9GL3DAT,170000,3
1278,0.745,0.667,2,-6.228,1,0.129,0.479,0.0,0.137,0.391,97.525,4vif9vjPdjW6yVBNn3TJ5t,189886,3
1279,0.523,0.56,2,-9.591,1,0.232,0.0185,0.000506,0.103,0.124,86.123,043F7TBhjryGMNf9mhJmJ8,245181,3
1280,0.654,0.597,10,-7.755,0,0.253,0.106,0.0,0.0934,0.567,159.783,5evGYz5y4hbm8nWOd4xaRG,180025,3
1281,0.834,0.489,5,-11.035,0,0.381,0.176,0.0,0.142,0.554,130.962,5d5obA3nQMnjExM71xz9ia,230840,3
1282,0.848,0.457,0,-10.118,1,0.293,0.153,0.0,0.115,0.227,100.018,1QQa6ABxHJZNHZl8bFL8Tu,195649,3
1283,0.31,0.722,7,-5.348,1,0.0813,0.287,0.0,0.345,0.349,86.693,1MzGZ3pVE78jFAZQxUUvyH,177528,3
1284,0.702,0.722,1,-5.921,1,0.161,0.0199,0.0,0.299,0.51,137.963,0NjHKBwypSLlalVqEz9RdO,153168,3
1285,0.667,0.426,0,-10.496,1,0.078,0.0459,0.0,0.115,0.405,134.116,69xCzBXO5QXpulJaJ1JwIv,143284,3
1286,0.678,0.552,8,-9.291,0,0.198,0.0293,6.16e-05,0.309,0.442,160.021,6l2PI59YbD7I9Z9SlEGG2j,181394,3
1287,0.78,0.509,8,-7.486,0,0.0588,0.00118,0.898,0.303,0.525,159.974,7FV912BMnCACZdeA5uK5AT,181185,3
1288,0.565,0.366,8,-14.852,0,0.456,0.161,0.0,0.288,0.459,160.094,6zGEzCRkqbuq3sKgjbhAJs,621818,3
1289,0.5,0.474,10,-7.401,0,0.278,0.143,0.0,0.0814,0.437,133.647,13GfAjuZmbA6fDeVLD8Fvg,200597,3
1290,0.816,0.669,8,-5.943,1,0.3,0.00928,1.77e-06,0.124,0.774,173.936,4jE9TxGdC5HXoffwtiQe8a,183141,3
1291,0.809,0.713,0,-4.34,0,0.0758,0.17,1.46e-05,0.16,0.87,75.49,4PCua68lpXoIfwtg8lLFMm,146747,3
1292,0.493,0.8,2,-4.048,1,0.244,0.0844,0.0,0.286,0.121,183.687,0UMEa06rzCK9Mfhtx77x9W,189057,3
1293,0.457,0.697,10,-5.112,0,0.445,0.217,0.0,0.0931,0.359,72.197,1FXh5jxe1UqUe3qfhA6wvg,250469,3
1294,0.86,0.717,11,-4.614,0,0.297,0.00246,0.0,0.159,0.528,148.955,0ngWsSyLbn5IPpUg5sHRW3,257854,3
1295,0.597,0.56,3,-7.337,0,0.14,0.0268,0.0,0.0778,0.269,82.013,13hxYkyenVil7rubo4SKp3,205366,3
1296,0.551,0.592,2,-4.193,1,0.398,0.0505,0.0,0.0984,0.247,89.948,61O7WLr5miWwpWthlcGOAx,282096,3
1297,0.772,0.606,7,-6.087,1,0.232,0.139,0.0,0.0894,0.318,90.71,1diOrouIpLnRx1lcht3PGA,211494,3
1298,0.658,0.724,9,-6.506,0,0.462,0.119,0.0,0.102,0.581,152.253,3Nrctt1YRFic5Z9Quo10t7,227957,3
1299,0.612,0.805,1,-4.568,1,0.261,0.0879,0.0,0.368,0.457,93.819,0sZgbzy3iJjzZCKnIy5tRO,193984,3
1300,0.739,0.779,8,-4.465,0,0.206,0.186,0.0,0.278,0.624,77.974,31WH3wJqSJ1SsJt5pC3D71,246427,3
1301,0.562,0.802,9,-4.381,1,0.361,0.393,0.0,0.205,0.684,156.371,4Nxnn0NPm52NrXeoJRzmYj,222781,3
1302,0.742,0.777,1,-3.359,1,0.178,0.0304,0.0,0.127,0.51,130.122,54kRRTrZhXKpD6LyK44qju,236502,3
1303,0.733,0.814,1,-4.186,1,0.153,0.0904,0.0,0.115,0.56,76.058,74lUAuKIUtVraYK9Sn3lit,210333,3
1304,0.65,0.612,3,-5.036,0,0.464,0.0204,0.0,0.0868,0.727,76.985,3MmX2xJoVa9j79zh1Yo0r2,241374,3
1305,0.802,0.653,9,-6.323,0,0.438,0.51,0.0,0.07,0.381,139.868,5AljTM5k5L1X3uiDsSg5CB,268749,3
1306,0.757,0.815,11,-3.831,0,0.141,0.0431,0.0,0.0804,0.175,144.949,3WTUfWFup2EhEFalffDbOJ,251704,3
1307,0.57,0.641,5,-3.721,0,0.0491,0.302,0.0,0.129,0.36,87.385,3cRBqE3NnZaQPZP5xBmpZu,249595,3
1308,0.624,0.77,9,-4.967,1,0.447,0.143,0.0,0.114,0.306,79.27,15bSAQLUa8HEbiWdEgAy1b,276575,3
1309,0.477,0.88,6,-3.827,1,0.451,0.105,0.0,0.0763,0.367,176.344,4s93blrigHW5bzemR5BzIS,222377,3
1310,0.708,0.597,1,-6.98,0,0.358,0.0216,0.0,0.111,0.275,77.115,2IPRl9PKLeb41a77NvlAQ9,274746,3
1311,0.441,0.512,6,-7.002,1,0.429,0.175,0.0,0.165,0.696,178.161,2BYvpocXXUPfr9fveBPtAM,181714,3
1312,0.688,0.86,6,-6.264,1,0.257,0.155,0.0,0.761,0.537,103.995,3KLUrFp0TOJy8J5NUJniWj,246614,3
1313,0.688,0.569,7,-6.821,1,0.078,0.128,0.0,0.204,0.432,120.135,4CtTV3ylKOfoM2k16QoUbM,181148,3
1314,0.511,0.78,7,-6.745,1,0.205,0.155,0.0,0.0627,0.742,107.093,3jM3wsRy9cD241Ea8o7yEF,148452,3
1315,0.67,0.697,2,-6.846,1,0.329,0.187,0.0,0.903,0.286,113.153,6BemAoLJtETstbjEuLAj25,246849,3
1316,0.6,0.884,8,-6.465,1,0.106,0.0654,0.0,0.306,0.806,149.89,7jCbxyvlMaPVp0j9mB9XTv,155200,3
1317,0.649,0.67,1,-6.111,1,0.238,0.151,0.0,0.568,0.789,74.977,7FMN7U0pQogDjNiFsNcdPt,217876,3
1318,0.494,0.564,7,-8.035,0,0.217,0.475,0.0,0.083,0.231,92.204,1tyTW7hr8v5Xi22vX9iLfd,194048,3
1319,0.549,0.635,11,-7.003,0,0.122,0.0547,0.0,0.167,0.495,119.968,22opsbR1cNa61rZur58qSv,248054,3
1320,0.537,0.706,4,-7.11,0,0.0922,0.148,0.0,0.274,0.541,82.285,3mjZ5J3VaYhlPW6x6S0VO8,295555,3
1321,0.645,0.64,3,-6.755,0,0.241,0.0808,0.0,0.113,0.94,170.142,3c3Jl5AXVpc3OjfWjHMYbD,174709,3
1322,0.463,0.703,6,-6.774,0,0.456,0.475,0.0,0.458,0.629,163.567,7unkLGhClBb8usYcZX73qS,174709,3
1323,0.557,0.773,10,-8.328,0,0.315,0.528,0.0,0.631,0.688,92.054,6fGKYK5MH089j2B47Vh3Vg,170071,3
1324,0.433,0.498,8,-6.711,0,0.207,0.263,0.0,0.339,0.69,79.434,32L05FkUrYfVlc0IwJ45ld,137876,3
1325,0.828,0.452,4,-7.636,0,0.134,0.262,0.0,0.167,0.487,125.058,7L2FjoNQcwOZMMUuxw74me,271067,3
1326,0.702,0.594,1,-8.009,1,0.236,0.0327,2.75e-05,0.131,0.634,77.204,1T6r6RLOnEPZvkZOe2GSe0,169920,3
1327,0.679,0.555,7,-7.525,1,0.249,0.0546,0.0,0.14,0.575,166.017,1r6x9UHdeDv2xfPz6WU5NH,141587,3
1328,0.901,0.592,10,-7.734,0,0.239,0.0401,3.56e-05,0.114,0.233,150.012,38A8w0FNtDJ37wBOUy2x9y,207867,3
1329,0.753,0.355,1,-10.47,0,0.45,0.16,0.0,0.072,0.558,71.37,1Wam0ra5qjQgqSrYwGYfU9,102560,3
1330,0.804,0.519,8,-7.229,1,0.106,0.00673,0.46,0.122,0.245,149.91,1lfDHeVB821idpRUGMeBB3,179227,3
1331,0.958,0.389,0,-9.036,0,0.401,0.0206,0.0,0.114,0.453,129.935,6b8ZT3u6XqWTF590Pe3yBH,192907,3
1332,0.699,0.569,8,-8.923,1,0.389,0.11,3.68e-06,0.1,0.682,77.08,2PTfsQp7SXFVv20OsNTKEN,151013,3
1333,0.811,0.429,10,-9.912,1,0.213,0.249,0.0,0.146,0.606,132.0,1WUUuvOOkTa5TMeH7WtQ3s,121000,3
1334,0.753,0.465,1,-6.125,1,0.261,0.0109,0.0,0.337,0.33,148.031,3OetD1UCU19wH8rkNBVweW,170920,3
1335,0.787,0.444,5,-11.524,0,0.444,0.106,0.0,0.605,0.767,74.483,36SCrzvQe7ltpiQGdbFhCX,184960,3
1336,0.844,0.767,1,-8.264,1,0.198,0.0223,0.00018,0.0891,0.538,150.089,7ntWI6il0nrqHpVI66KpZU,217000,3
1337,0.77,0.497,11,-8.337,1,0.316,0.0669,1.83e-05,0.104,0.116,108.024,2M1Gsk5dM4lIdRCiG522zk,214253,3
1338,0.759,0.519,0,-8.139,1,0.217,0.0491,0.0,0.17,0.514,142.041,4zxGrNechQ9aS2j8gdKVxV,230533,3
1339,0.752,0.618,2,-7.337,1,0.163,0.00202,2.7e-06,0.333,0.245,156.978,6MGZOHgISafHWrgAU4RZ1L,196333,3
1340,0.742,0.473,4,-8.338,1,0.228,0.315,0.0,0.195,0.683,140.048,5vHG0W078ETI0nvlO9UwpM,225333,3
1341,0.9,0.498,11,-6.494,0,0.0725,0.05,0.0,0.125,0.739,130.088,0Ho6FZYMzklqIlRaa9LRR3,182490,3
1342,0.744,0.728,4,-5.738,0,0.0541,0.275,0.0,0.131,0.543,139.914,2K2nfIHU02JUJtzLvUx0ju,206313,3
1343,0.842,0.813,5,-5.514,1,0.0491,0.0284,0.0,0.412,0.437,124.987,4LcUIC0OEsTmpwJR38aafo,192200,3
1344,0.729,0.736,6,-4.702,0,0.238,0.252,0.0,0.106,0.602,90.973,0Y9MT9NPcN8c0kQZfkYL2W,194151,3
1345,0.72,0.192,2,-15.077,0,0.73,0.987,5.02e-06,0.43,0.644,79.327,6DS5cGQAU23j8ZZ8Asrus6,64235,3
1346,0.641,0.681,1,-4.684,1,0.0534,0.0328,0.0,0.407,0.29,137.012,6aTE2QYkfRMKWoQ2fdW0Cc,186514,3
1347,0.321,0.908,4,-7.722,1,0.455,0.00665,0.0702,0.326,0.635,145.039,6oiEC6r7QEWlRgwtp5hlpB,192940,3
1348,0.787,0.57,1,-7.434,1,0.125,0.126,0.0,0.368,0.484,138.015,6iCaXPVCVayITmQVSKThYe,87562,3
1349,0.67,0.582,6,-8.442,1,0.278,0.00609,3.11e-05,0.342,0.695,144.106,6wOkQBzbIvsILq7bz2HJYa,206027,3
1350,0.898,0.576,2,-5.994,1,0.229,0.203,0.0,0.182,0.356,127.931,0h1blP3cGUG8DRCJBxmurP,210651,3
1351,0.488,0.818,2,-9.007,1,0.429,0.0407,0.0,0.163,0.508,130.043,4Yqxjc1Cg7jXy8GiBgkxnL,221335,3
1352,0.612,0.841,8,-5.823,0,0.154,0.0499,0.0,0.336,0.769,154.966,10YzRX1dyKbPMxMNjlbZN6,227108,3
1353,0.583,0.908,6,-4.618,1,0.0898,0.0028,1.6e-05,0.381,0.654,123.557,1t3cpbwLFCK08aG3keJFZs,281364,3
1354,0.438,0.805,4,-4.719,0,0.484,0.125,0.0,0.402,0.767,159.628,6H2ItqxQDxYeuE4P4IwHTG,242155,3
1355,0.588,0.787,10,-7.298,0,0.0993,0.00152,0.0,0.386,0.794,145.989,2kxVC4v3FDng056KqVao42,227213,3
1356,0.621,0.878,3,-7.625,0,0.221,0.0463,0.0,0.147,0.71,144.898,0iiHTuYeeq28Git712S5uK,276584,3
1357,0.737,0.559,9,-10.664,0,0.165,0.119,0.0,0.0786,0.809,125.057,3ZtCscTe5xjhQYVtwKQfgt,270654,3
1358,0.476,0.547,1,-9.515,0,0.393,0.0446,0.0,0.145,0.414,144.369,6VZnJJT9IsIP9bOpIYnmUS,192235,3
1359,0.557,0.744,0,-6.182,1,0.0845,0.185,0.846,0.814,0.599,142.12,6skuzyXAQ7lEMifQGRo9ii,288000,3
1360,0.672,0.657,11,-7.005,0,0.0944,0.00285,0.000168,0.584,0.687,148.014,7cXfxlrCls90FtAJCNQPZs,235676,3
1361,0.611,0.794,11,-6.703,0,0.164,0.00066,0.0,0.37,0.579,143.972,5AaJtBGWab0WMgIEEC5goO,224078,3
1362,0.668,0.512,1,-4.89,1,0.138,0.00988,0.0,0.37,0.342,141.946,1bFnIQzL8l3BXnpH1BAGsl,245995,3
