danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.812,0.741,0,-5.003,0,0.177,0.308,0.0,0.21,0.536,92.042,2xLlus5ygu2jA9GVGMkWg8,185460,4
0.845,0.733,1,-4.237,1,0.233,0.0619,0.0,0.292,0.277,90.945,7lNzWaRwqk2QdXXCMhFH76,179507,4
0.876,0.733,10,-4.478,0,0.333,0.0208,0.0,0.0999,0.962,154.911,4u11SmL7NNvNQObIrwfofs,148648,4
0.566,0.614,8,-6.177,1,0.337,0.14,0.0,0.115,0.673,99.306,4EHxJtmeILS5UPEGwgW37W,295640,4
0.732,0.746,11,-6.367,0,0.226,0.00276,0.0,0.109,0.407,155.096,17UvwOkFo5fwcTGJpvhC8C,182707,4
0.733,0.671,0,-5.698,0,0.249,0.171,0.0,0.118,0.529,101.129,6ySZopYrlGoQ2PJd9naWbx,269867,4
0.82,0.871,1,-2.767,1,0.246,0.127,0.0,0.101,0.69,84.013,4NPMqbpTUO7sFJC5rwzirv,191933,4
0.835,0.435,5,-11.429,0,0.366,0.397,0.0103,0.339,0.861,123.507,1P6MUPI4IaR3QKqHnyrOzy,331720,4
0.886,0.708,10,-4.391,0,0.36,0.176,1.53e-05,0.328,0.533,145.967,1Cc33WHd3iZxvS3xi4cMVu,142808,4
0.889,0.705,11,-8.683,0,0.392,0.389,1.04e-05,0.0692,0.815,141.069,11xIpshprLRRvhEUBdyeHt,183830,4
0.832,0.512,1,-4.697,1,0.442,0.0176,0.0,0.123,0.193,142.976,7cVzsHk8g9j5urDDGCAW2M,178595,4
0.846,0.651,7,-5.481,0,0.128,0.634,0.0,0.125,0.581,140.047,3yUhYfvQ0qGScpVe5AYWrV,223921,4
0.837,0.784,8,-3.345,1,0.0499,0.0918,0.101,0.245,0.874,93.013,3UeWzUGWyrgBYOmYIuXEyS,168602,4
0.735,0.741,8,-3.812,1,0.0582,0.0683,0.0,0.116,0.597,92.995,2HgkTlPHdYGHdVjQ6eZMCK,219893,4
0.823,0.795,1,-3.428,0,0.0708,0.092,6.96e-06,0.0621,0.661,100.039,5oqjBjNmGwA4bIH0zmrluw,188134,4
0.834,0.587,6,-5.484,1,0.296,0.0948,0.0,0.0803,0.325,170.017,6FWubMAaiHvLUmthb9cdhi,137408,4
0.861,0.576,4,-7.413,0,0.0511,0.113,0.0179,0.138,0.656,145.995,1EDYTsAh4qcktiwqXD5Zqg,151519,4
0.591,0.489,9,-7.4,1,0.0414,0.702,0.0,0.126,0.27,109.201,1fcBaIcb7ujWKcGPmEZWu2,206197,4
0.676,0.615,8,-7.269,1,0.215,0.000363,1.82e-06,0.0669,0.961,135.12,78oLDICL2gDgVbfHRfaQ7k,88889,4
0.761,0.606,1,-6.276,1,0.176,0.0726,0.0,0.101,0.444,159.995,74zWeqYeYVFGkGQlDbGl5R,186000,4
0.703,0.682,11,-7.415,1,0.04,0.154,0.0,0.0695,0.405,89.966,5DIpDstTI7D5sRgzJBNYPN,178515,4
0.74,0.669,7,-7.185,1,0.325,0.0716,0.0,0.138,0.561,77.501,4RvvLSM43G9G6QL4MCM5i2,178065,4
0.43,0.538,1,-7.743,0,0.245,0.0874,2.59e-06,0.187,0.553,86.03,2Ao29vuFxKXz3X3m6nW2Wf,159018,3
0.878,0.752,1,-6.371,0,0.214,0.181,0.0,0.132,0.931,132.041,7lYq8wFH2dFkhltfKGDmQP,163636,4
0.663,0.571,7,-5.471,0,0.371,0.308,0.0,0.287,0.507,193.894,3cKViJAtSm99RDAb1ZLel4,222680,4
0.754,0.673,11,-5.334,1,0.147,0.0422,0.0,0.187,0.553,79.045,1hftmOT9vLENL2WnthbvH2,121519,4
0.76,0.545,5,-6.819,1,0.0623,0.13,0.0,0.113,0.356,147.953,61uLECioZbp8SpQWBuMApK,174730,4
0.785,0.526,6,-8.221,0,0.108,0.411,0.0,0.113,0.409,124.945,6ER7NbK7K8AcqYYhlPdxIl,234240,4
0.645,0.679,6,-6.628,0,0.229,0.35,0.0,0.124,0.377,89.858,7hyYyOAbo1k1SN55oEjPKq,174333,4
0.765,0.557,6,-7.263,1,0.103,0.0946,0.0,0.111,0.697,148.995,4ZxLgPg28sZjKViojgnSo4,157852,4
0.572,0.633,11,-5.458,0,0.297,0.19,0.0,0.105,0.664,154.066,3RqNzgYz6of5cblLCRQ5Mq,154286,5
0.776,0.457,1,-8.34,0,0.0571,0.221,0.0,0.112,0.703,128.909,5NnolmNqUU1kC8wVhL8w2O,141395,4
0.679,0.501,4,-7.733,0,0.0568,0.337,0.0,0.101,0.427,83.994,4FQSddDHLOXyyCFUbU3dIb,162857,4
0.511,0.64,0,-6.772,1,0.239,0.0857,0.0,0.102,0.382,100.084,0I0aIIzkYbouNO9OrFf7ZU,198400,5
0.803,0.612,1,-6.27,0,0.0659,0.192,0.0,0.111,0.481,140.113,2BAAoamf83Le11piRhjDvL,195429,4
0.702,0.755,1,-4.658,0,0.334,0.542,0.0,0.199,0.615,97.547,6YdvJbIlKrmWnanv2DrT9B,153413,4
0.775,0.701,1,-3.358,1,0.4,0.306,0.0,0.0935,0.578,165.839,0ZDncRoXNQLpEANaVx4TLo,211773,4
0.755,0.635,6,-8.751,0,0.341,0.269,0.0,0.103,0.581,142.807,2Hfi2FpFcBmFWhQQhRC5o7,197116,4
0.685,0.731,5,-6.121,1,0.033,0.00217,0.0,0.372,0.171,128.968,7qCHqtiSiX3T09ErW718yQ,158573,4
0.557,0.561,1,-5.632,0,0.229,0.562,7.12e-05,0.31,0.526,82.474,1rSzt2uk0zkg4qnbV1vhlV,149725,4
0.814,0.691,6,-4.724,0,0.178,0.091,0.00656,0.0776,0.726,176.02,70OzxAX2nwbpNEuavPvJGz,193466,4
0.808,0.68,1,-5.181,1,0.176,0.23,6.21e-05,0.11,0.742,176.046,3EHOIENLKLgQYiwB3tKLky,258527,4
