,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
43,0.298,0.0688,8,-26.099,1,0.0329,0.977,0.934,0.118,0.144,58.299,4VIIgQFKXfLpV2YMIwytcL,357587,4
44,0.517,0.271,1,-15.204,1,0.102,0.755,0.0203,0.168,0.453,142.526,4ahFLQS2wzNd8t30fyUkHj,393867,4
45,0.451,0.0938,2,-19.085,0,0.0383,0.962,0.245,0.114,0.128,107.373,0W9WLOdvSfdngOuYs9TsN2,428307,4
46,0.663,0.243,9,-13.829,0,0.0457,0.818,0.272,0.0883,0.487,80.379,5bijZPsIGNRE0tkqw4PIH6,258853,4
47,0.634,0.0962,10,-13.473,1,0.0726,0.972,0.255,0.101,0.275,126.423,09lFO83WZnzTu9YQ2dbt9d,219013,4
48,0.628,0.0355,5,-23.371,1,0.0418,0.841,0.00797,0.0985,0.199,90.465,7Gl3V9yIhPTsv487G8UByq,429267,4
49,0.481,0.199,8,-8.54,1,0.034,0.968,0.894,0.09,0.392,123.928,0vxMsLGsYdPMhSpyFrumFq,223853,4
50,0.376,0.0605,2,-16.54,0,0.0552,0.991,0.459,0.0945,0.283,75.529,7AVgEfZKPkXBRR3KNyK8GN,199227,4
51,0.564,0.026,0,-19.31,1,0.08,0.987,0.189,0.106,0.18,56.819,7frsfPbcKpPaqqx21VgOaS,221293,4
52,0.426,0.0178,4,-29.622,0,0.0563,0.979,0.56,0.119,0.222,184.112,1SbujECS7pblSS9pFi5sJb,245013,3
53,0.389,0.36,10,-11.1,1,0.0474,0.895,0.825,0.13,0.145,61.886,5W9Gf6zAk2aKqfCREzAI9W,416720,4
54,0.419,0.296,6,-14.721,1,0.0308,0.914,0.927,0.193,0.121,111.452,3Y09C1udfqDlYysDVtfNOA,498107,4
55,0.803,0.124,6,-14.795,1,0.042,0.662,0.00315,0.122,0.357,100.952,3kSPBfOF2cDiyAcoRiuN8v,241027,4
56,0.336,0.0619,5,-20.494,0,0.0363,0.985,0.891,0.11,0.197,60.705,27CXQ1Z3J1AFqIJEHR24QZ,190400,4
57,0.46,0.135,9,-18.297,0,0.0674,0.991,0.872,0.0918,0.355,87.952,6HyqTOCdwRnPXmHbqwbVsx,195093,3
58,0.581,0.556,8,-10.422,1,0.0543,0.806,0.925,0.218,0.313,93.499,09GeDVUzAsfxHDGNghzXWb,360987,4
59,0.348,0.0156,10,-25.403,0,0.0375,0.957,0.0,0.144,0.152,107.577,3nbAjiokNmXwABFDgzGW7i,158373,4
60,0.427,0.114,2,-22.546,0,0.0509,0.843,0.863,0.0966,0.114,60.484,6vxQyUQFfv88kyvWvYyHDr,282320,4
61,0.536,0.258,10,-16.255,0,0.0298,0.684,9.11e-05,0.201,0.525,131.751,1x9EZ1xhKvaxa0ymOfIS1n,275720,3
62,0.52,0.332,8,-13.475,1,0.0366,0.624,0.325,0.0681,0.489,91.929,6Fr86ITL1DorChe9JXrFL7,385640,4
63,0.278,0.239,6,-15.248,1,0.0353,0.901,0.141,0.18,0.204,169.223,6nEkArLef1ZZsfFiFiEnzZ,373880,3
64,0.416,0.0673,7,-13.879,0,0.0379,0.95,0.214,0.135,0.232,108.677,3l7qu4ebP7xuorgV19bF6L,309920,4
65,0.502,0.0852,3,-19.729,1,0.0467,0.954,0.875,0.134,0.209,119.862,55L820gHJDOC3y9HqRZhAS,277987,4
66,0.558,0.0719,3,-21.955,1,0.045,0.992,0.873,0.11,0.0826,122.157,20wiMOsT6ZsJEfxfyH2uh1,293320,4
67,0.459,0.0862,5,-18.675,1,0.0366,0.962,0.0511,0.0847,0.101,61.011,3AJ08jImAbbIMqt4Ip1Ujk,284840,4
68,0.606,0.164,3,-11.582,1,0.0616,0.979,0.51,0.0896,0.294,133.687,7fxS1mTrX7fp4Ew5gWX0Yw,258467,4
69,0.519,0.0422,1,-10.778,1,0.0537,0.966,0.929,0.124,0.397,130.443,0nM1n2QhRluo4uCLt8hH5J,252947,3
70,0.537,0.284,0,-17.392,0,0.0479,0.825,0.000674,0.197,0.835,104.978,7DJAY4C7eF0aSlFNCVzX72,234933,4
71,0.39,0.05,4,-14.448,0,0.0544,0.909,0.000608,0.0832,0.16,174.401,3x6C6qmG8F4iVfWYNI8dSQ,164867,3
72,0.532,0.095,3,-14.636,1,0.0448,0.935,0.145,0.0765,0.3,101.659,56QYsyKFvExRDZOdVDGc3o,906387,4
73,0.466,0.603,0,-13.661,1,0.0725,0.75,0.87,0.967,0.505,86.17,4EqlBErnUhrL5pZws0DA5D,459333,4
74,0.612,0.296,5,-21.043,0,0.0537,0.76,0.888,0.692,0.37,115.743,4tI2fwAFxmtKw6pD9DtWgu,396787,4
75,0.452,0.54,9,-14.029,0,0.061,0.904,0.842,0.933,0.312,116.734,3We0LajfkOfRhCmSVfZ24i,458360,1
76,0.489,0.448,8,-16.531,1,0.0827,0.838,0.844,0.693,0.486,82.486,54UJuiDbno6nileY7nKbKe,381760,4
77,0.332,0.77,8,-9.907,1,0.0653,0.452,0.253,0.816,0.669,158.048,3QvWtjDH0w5ntNdfsTyHgg,334413,4
78,0.426,0.76,10,-8.073,1,0.0668,0.67,0.855,0.725,0.539,173.737,22Ak4gCGPAyxPeMbZPXh06,286520,4
79,0.464,0.526,10,-12.289,1,0.0618,0.879,0.372,0.722,0.417,100.118,0Cy1KrwXR347qURB6ULSX5,494667,4
80,0.367,0.797,8,-10.893,1,0.1,0.621,0.201,0.841,0.715,154.34,54jJ8rz1D27iTZwP3bsXSQ,397333,4
81,0.462,0.389,0,-15.401,1,0.0492,0.846,0.78,0.691,0.425,90.063,0fOLfqdPXRH8qLsvpRr0sP,395333,4
82,0.412,0.792,5,-10.566,0,0.0928,0.672,0.141,0.807,0.64,82.149,0VcNHs2iBDE6i0b6qRru74,366000,4
83,0.352,0.963,8,-7.095,1,0.192,0.185,0.752,0.857,0.46,87.373,0iEKm8yie3JQMZjWQgghhy,337840,4
84,0.322,0.0694,5,-20.965,0,0.0349,0.991,0.92,0.13,0.225,94.897,2xIJC8c665FT6FWmmFETQm,227240,3
85,0.232,0.0349,9,-23.179,0,0.0406,0.988,0.914,0.0984,0.127,65.288,103LDTzijrISOVa4Kvwu4P,225200,3
86,0.253,0.0278,5,-22.185,0,0.0444,0.994,0.934,0.12,0.112,67.448,1RmV1iQtm8k2gL7qO6lOhD,280213,4
87,0.327,0.0606,1,-24.092,1,0.0388,0.982,0.681,0.102,0.0668,128.355,6T8WJQFAkX2k3nFOj3eoOK,413627,4
88,0.304,0.101,3,-18.438,1,0.0369,0.988,0.786,0.107,0.356,68.824,452gFYlDnj6zVU7eodabCH,365987,4
89,0.532,0.0516,5,-16.34,0,0.0505,0.994,0.91,0.1,0.263,107.012,3g9uIJ5wIvoqqeYfdfQsNf,472707,4
90,0.34,0.105,5,-16.15,1,0.0376,0.977,0.87,0.097,0.141,64.391,6JgXwEGxn21fhmMLrOXCLi,230053,3
91,0.438,0.0333,7,-23.519,0,0.0428,0.989,0.901,0.115,0.122,132.181,7GMyvw9Rc8zMd6JYHqSo81,359067,4
92,0.3,0.00941,5,-23.184,0,0.0392,0.992,0.528,0.138,0.123,68.387,1vNCBWZlD7oVwZIfh6rOKw,273120,4
93,0.552,0.454,0,-11.849,1,0.0457,0.667,0.267,0.0649,0.782,104.664,0MW4rdr7HfUInghgjpuOW3,406787,4
94,0.586,0.419,5,-10.296,0,0.0357,0.922,0.264,0.128,0.85,104.653,3WeCyn1qRZZHQIcQVxZGjT,158747,3
95,0.553,0.239,0,-17.298,1,0.201,0.0504,0.0832,0.0717,0.683,168.589,53WmVpAw5kr0WHGHbwDMHp,341853,4
96,0.624,0.0973,0,-15.802,1,0.0501,0.912,0.869,0.11,0.244,138.151,0RvTWG6uSl1daZG3pZrJ3s,398413,4
97,0.505,0.486,8,-9.626,1,0.0346,0.801,0.0114,0.182,0.716,133.0,6fe3KkGPDP6D2Bq6qsyQZV,515080,3
98,0.511,0.38,7,-11.796,0,0.042,0.608,8.76e-05,0.342,0.543,82.78,5KPGayhYpFrwKbLRR3I8D3,603467,4
99,0.594,0.211,10,-14.514,0,0.0437,0.819,0.174,0.1,0.33,108.71,1cNBf28zV4NTYzxgutfe21,366640,4
100,0.548,0.48,10,-9.001,0,0.0386,0.628,0.0034,0.11,0.634,135.565,3aFVpk24MU1UeXhCh7FNNC,224147,4
101,0.629,0.781,7,-8.298,1,0.0549,0.646,0.821,0.357,0.832,97.801,7mHLJayZccMOMbvkiWfeNV,475040,4
102,0.546,0.33,0,-13.743,0,0.0425,0.715,0.176,0.869,0.563,143.402,6Qpke1nLtW5lciSvWy87KS,1025453,4
103,0.489,0.384,9,-15.303,0,0.0438,0.714,0.47,0.13,0.603,121.799,3H7NU7HrTtkHRQoq94EpY1,805720,4
104,0.528,0.343,0,-15.977,0,0.0509,0.687,0.623,0.398,0.497,120.891,2nhqKYA2l9qNuPqIbdVqoQ,879013,4
105,0.489,0.478,0,-13.858,0,0.0513,0.613,0.168,0.926,0.717,126.228,3Nt7GGIp3C8FKvXg1FiFRy,952707,4
106,0.572,0.363,5,-12.802,1,0.0558,0.798,0.01,0.979,0.602,141.763,1wzqUhFKuzDhbcHni9mV22,841040,4
107,0.486,0.29,10,-13.88,0,0.0554,0.884,0.0221,0.101,0.295,129.178,5clG2GtMgZo0FkbrTEZq9W,336893,4
108,0.444,0.414,10,-13.144,1,0.0755,0.717,0.0876,0.0896,0.668,161.175,3VvSRBNaobe0QIxy44WsWI,262520,4
109,0.367,0.457,3,-13.197,1,0.0385,0.604,0.0429,0.217,0.703,179.734,45ZCmqk8DSDc823mUIfPP9,49440,4
110,0.296,0.998,7,-12.116,1,0.825,0.574,0.00342,0.911,0.0229,65.644,1G4HJQ9KzwZKrVsfPrEzNs,59693,3
111,0.452,0.508,9,-12.593,0,0.0393,0.538,0.000495,0.506,0.706,127.346,6YVCqmKV0RhiGHcWhPNBrk,876507,4
112,0.537,0.307,0,-16.9,0,0.0497,0.566,0.000522,0.972,0.469,110.744,58B8iUdKKYWW8K7dC9PJ9Z,875147,4
113,0.617,0.34,0,-15.59,1,0.0333,0.691,0.0165,0.279,0.55,143.279,75VPnwPmoFDcwGHn43RWzq,931253,3
114,0.372,0.362,0,-14.311,0,0.0297,0.242,0.0,0.332,0.784,171.125,0G0igUQwlRafqOVFbZNgdO,30560,4
115,0.325,0.999,0,-14.769,1,0.372,0.568,0.000108,0.963,0.0126,116.526,1OLV4CSNp96vfWGLIGRnOG,70867,5
116,0.48,0.439,9,-14.884,0,0.0425,0.351,0.000244,0.701,0.64,128.684,3ctCIHJnUB0uo16MrNj3fo,634893,4
117,0.538,0.235,10,-16.713,1,0.0483,0.716,0.102,0.668,0.292,113.463,6VhuDzxA4noCl1mv9QyUx3,444853,4
118,0.4,0.376,0,-14.843,0,0.0674,0.462,4.04e-05,0.151,0.639,200.558,4ij2mGryYLCgbo6Nwknv14,981453,4
119,0.317,0.664,3,-13.101,1,0.0714,0.279,1.53e-05,0.909,0.837,202.261,0BzOpnH3QvYUSnvBiJeZOA,52533,4
120,0.458,0.418,9,-15.641,0,0.0443,0.492,0.0003,0.371,0.675,127.895,2gcHRAmJq9IEP9azFyNrso,920360,4
121,0.484,0.333,3,-16.624,1,0.0413,0.57,0.000197,0.954,0.442,109.727,1WknJVD2r5gLFtV2qvPrjz,819880,4
122,0.476,0.317,2,-15.923,0,0.0344,0.628,0.00546,0.475,0.518,141.792,5pHvewUIovtnN6FkOkMws7,970067,3
123,0.348,0.442,8,-12.425,1,0.0391,0.527,0.00729,0.833,0.667,181.244,6F9t4tjwp9GlpuezbeEzFy,58920,4
124,0.518,0.175,3,-22.239,1,0.921,0.887,0.0,0.155,0.322,86.501,6JpneAzNQfM7gWhZ9KSwBD,373547,3
125,0.679,0.325,5,-12.361,0,0.0502,0.425,0.000626,0.182,0.422,119.954,35O1WsDB5dudbGuidDcV05,263600,4
126,0.44,0.371,0,-11.679,1,0.0426,0.512,1.39e-06,0.0893,0.499,178.093,1BMtcblGnmlCYyFi9wNWca,323133,4
127,0.486,0.195,1,-16.823,1,0.0387,0.735,0.000502,0.117,0.225,95.73,6tPrUC3UrJu52Cp8Z5Ut4p,344400,4
128,0.516,0.337,7,-13.005,1,0.0333,0.368,0.000158,0.17,0.332,112.897,0XOWMGSRQZ7DzKQrTC9Csp,366600,1
129,0.465,0.133,2,-15.44,1,0.0346,0.925,0.00017,0.277,0.204,74.533,07aXjW0L307xKgaw35mXqd,281600,4
130,0.502,0.336,10,-14.523,0,0.0452,0.802,7.45e-05,0.0986,0.442,144.779,7F4ofEQJIYuWsKSCZNfbbd,378707,4
131,0.426,0.305,3,-12.436,1,0.0529,0.723,0.0003,0.161,0.351,83.127,6BzBCLFUzwVcis4YLbvq2v,349560,4
132,0.511,0.232,5,-13.645,0,0.0418,0.685,4.46e-05,0.324,0.299,137.34,1ZQYSW7SF25RKogzXqf3tY,260840,4
133,0.612,0.223,7,-16.969,1,0.0445,0.47,0.00115,0.0797,0.613,105.784,2lLlBgERvj0U7AKHo504pz,295533,4
134,0.407,0.0689,2,-16.424,1,0.0366,0.911,0.00122,0.358,0.128,129.228,40tvi2yrb54JijxTMeek01,286467,3
135,0.451,0.282,4,-14.123,0,0.0318,0.47,7.07e-06,0.165,0.326,100.518,0zvk1K19cRLfsdUzzmgk8l,327507,4
136,0.449,0.0376,0,-17.733,1,0.0408,0.986,0.00681,0.112,0.195,125.397,4rFy2QWEPcgBLwnPwR6kab,290640,3
137,0.462,0.445,0,-14.367,0,0.0364,0.494,0.0328,0.712,0.729,173.967,1MvK2JwRgXIXFAZPB8m0Fp,706507,3
138,0.454,0.687,10,-9.908,0,0.0541,0.57,2.66e-05,0.527,0.821,125.17,0XGcFar6kS4WzLvj9d0Uky,420000,4
139,0.61,0.249,9,-10.503,0,0.0309,0.876,0.184,0.0932,0.419,106.658,3FpYtNf2uY1xMPCDwux2X0,332520,4
140,0.575,0.309,0,-11.476,1,0.0443,0.68,1.56e-06,0.156,0.344,133.982,49quqDFjHEegmvgFCxf6ZR,432947,4
141,0.522,0.416,10,-14.861,1,0.0432,0.302,0.0124,0.664,0.694,145.844,0Jw5AycbDiNMoiYxkS7q3K,661440,4
142,0.604,0.323,10,-12.791,0,0.039,0.607,0.00298,0.269,0.653,96.351,1PZHNhO146hELbzDWKE0LM,425493,4
143,0.399,0.805,10,-9.845,0,0.035,0.38,0.884,0.162,0.837,126.785,7LcuOD1VWXdtCeYbnFaKti,131693,3
144,0.464,0.172,4,-15.526,0,0.0436,0.764,0.00513,0.118,0.273,168.273,3FPwlBgzg6LSTeWAmNwL1C,294560,4
145,0.46,0.498,5,-13.924,0,0.0443,0.706,0.000225,0.453,0.695,95.143,77Ej0YJgkX5nPU2066mno2,548720,4
146,0.654,0.273,8,-17.531,1,0.0326,0.799,0.879,0.194,0.411,134.78,5jaIF2qIcIsk0W7zc5mgz0,325360,4
147,0.421,0.399,5,-13.437,0,0.0341,0.881,0.119,0.168,0.799,147.99,6J9WBeeiFjv6hls5hmMbh0,267907,4
148,0.543,0.167,5,-21.365,0,0.067,0.762,0.585,0.248,0.41,115.779,1qmPAIEVPPQQQpSJKKLwhz,392107,4
149,0.276,0.0804,9,-26.253,1,0.0358,0.901,0.233,0.7,0.131,49.875,61bCs3nGzl8SKZNWL8PW2j,296733,4
150,0.54,0.17,5,-23.111,1,0.0522,0.903,0.854,0.116,0.754,98.463,4uY8PkOOdAQrtG1qitb9hX,149440,4
151,0.452,0.379,1,-15.018,1,0.0409,0.772,0.00762,0.273,0.725,99.112,2CeC9ui7q4HesLK1a84Ze2,408053,4
152,0.552,0.359,0,-13.001,1,0.037,0.55,0.13,0.0553,0.489,90.2,5NdmTd4AbKHs4ozK86oqxs,464960,4
153,0.397,0.652,0,-15.657,1,0.0809,0.159,0.193,0.462,0.605,100.396,5A48TC2H3O2CRwG21AjBJB,469160,3
154,0.556,0.307,2,-22.115,0,0.0493,0.882,0.838,0.154,0.622,126.01,7fdONIttJGWGAc2HU3oiPt,338333,4
155,0.359,0.106,7,-21.187,0,0.0332,0.966,0.871,0.0985,0.158,87.496,5dn2ogDHiTDFMwW597ip2T,348760,4
156,0.519,0.297,2,-17.697,0,0.0353,0.827,0.886,0.117,0.502,108.645,2nV8qCHY4to8YcRJoaafNh,293733,4
157,0.454,0.24,4,-19.44,0,0.0334,0.971,0.858,0.105,0.502,110.545,5wDV9xw01OdfmX0yy2azZ3,284973,4
158,0.449,0.141,8,-20.982,1,0.0407,0.782,0.235,0.116,0.311,124.658,2Uyv4IymecQUPjKchJKC3R,185867,4
159,0.312,0.121,0,-22.512,0,0.0379,0.989,0.874,0.119,0.229,195.041,0Vydnnxf41Ukpn7Rn6D5Wa,318400,3
160,0.389,0.228,0,-19.119,1,0.0374,0.87,0.715,0.156,0.713,165.455,3PHQQNY0Hw4X3vEZL9zpmI,297467,4
161,0.55,0.0547,8,-18.603,1,0.0485,0.944,0.833,0.114,0.0644,114.779,7FBJUiJWi9H7gKV7ZjNbdm,260707,4
162,0.558,0.467,7,-9.518,0,0.0388,0.954,0.9,0.117,0.892,200.632,18BC7Se0RWnKigGLswJw7H,161177,4
