,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
6466,0.264,0.976,7,-3.742,1,0.235,0.000792,0.00136,0.143,0.241,98.436,5GBx50fRVqGNdtF6Boi1Sg,165573,4
6467,0.37,0.984,1,-5.287,0,0.115,9.29e-05,0.000197,0.0904,0.54,106.852,6wZJIgahIiJ7eQNZ8laiWC,167893,4
6468,0.307,0.982,0,-4.244,1,0.145,0.0157,0.0,0.389,0.339,102.019,50yQnvqyvQ4F6QMw1cNKtX,152560,4
6469,0.285,0.82,0,-6.229,1,0.0434,0.00407,0.0,0.0511,0.344,144.525,7mIiDX7jw0SCn8lWdp2JBr,223867,4
6470,0.452,0.817,7,-2.27,1,0.273,0.00383,0.0,0.138,0.867,161.362,6wUZ205S2CxbVmKxjXBSJn,91227,4
6471,0.284,0.706,0,-11.307,1,0.114,0.0494,1.96e-06,0.0865,0.657,172.82,1bjXUQHaoQcm9N5llSmWsD,283093,4
6472,0.458,0.878,10,-6.035,0,0.0601,0.000201,0.0819,0.223,0.348,98.144,41tNWjCbJRatrvuHtdO4z2,253440,4
6473,0.451,0.937,4,-5.524,1,0.0952,0.00244,0.000112,0.148,0.591,100.601,4IRKZcnd7S4WfJ5gOZ4m3l,143893,4
6474,0.402,0.859,1,-4.41,0,0.0466,0.0394,0.0,0.0745,0.514,95.31,3upJ4lHJ1oscFJdvRoABcM,211547,4
6475,0.623,0.853,4,-5.356,1,0.0472,0.141,0.0,0.143,0.783,106.099,4u1r59vCzroxHgpjucRjED,196600,4
6476,0.497,0.855,11,-6.491,1,0.0677,0.0431,4.12e-05,0.141,0.505,136.735,2pZEHC7rASG0rZC9t3326H,137640,4
6477,0.774,0.75,11,-4.927,0,0.0413,0.0021,1.85e-05,0.0808,0.925,118.015,2lF8GA11a2ujdOhDyDFAmO,197987,4
6478,0.82,0.717,0,-6.218,0,0.0377,0.00385,0.0365,0.14,0.97,122.972,5817UPzaLyD2BPlEOBnNpI,260653,4
6479,0.768,0.772,5,-4.317,1,0.0411,0.056,5.9e-06,0.253,0.937,107.958,72nbE5eqMspy5Nql4aYWku,169027,4
6480,0.56,0.903,11,-4.77,1,0.0756,0.00125,0.0,0.295,0.581,143.828,1mVn6LE3NukwuP1uAixzgT,177960,4
6481,0.565,0.831,9,-3.102,0,0.113,0.000384,1.21e-05,0.245,0.498,135.111,3vuSK6S72zScIKsgb657cE,205413,4
6482,0.357,0.959,2,-4.081,0,0.113,6.93e-06,3.91e-05,0.0825,0.364,179.644,6gXpaqrHkFq2UopiBgmAhn,202093,4
6483,0.583,0.894,7,-3.357,1,0.0618,0.000504,0.000378,0.239,0.654,90.605,1lWYLhbr693FTpUQcEDJZC,199600,4
6484,0.477,0.917,6,-4.375,1,0.0546,0.00295,0.0,0.314,0.71,151.031,07lnwzah009XJ2W3hCHzGE,138310,4
6485,0.481,0.944,1,-3.103,1,0.124,0.0527,0.0,0.27,0.533,77.044,06EEQHDAtOyrxdlRlv6eZF,213293,4
6486,0.396,0.933,9,-3.757,1,0.0669,8.03e-05,3.17e-06,0.177,0.329,160.061,63pXJJsqdgW9BzSiCRWHiI,264987,4
6487,0.437,0.98,1,-3.05,1,0.0552,1.61e-05,0.00207,0.304,0.409,122.735,1IXre3fKPrv3NigaOdMoWU,211627,4
6488,0.29,0.968,7,-5.272,1,0.101,4.99e-06,1.99e-05,0.147,0.263,134.464,7A7tT9RL5DUU7gafhd9qmS,149467,4
6489,0.494,0.889,6,-5.524,0,0.0455,0.000606,0.425,0.11,0.525,120.472,7lXA3WClwi5H7i7xydAuXl,200680,4
6490,0.602,0.831,2,-7.86,1,0.16,0.000155,2.13e-06,0.117,0.281,121.026,6X3yINmyej8DamZHuZ6gPh,210493,4
6491,0.663,0.735,1,-5.14,0,0.0395,0.0222,2.17e-06,0.124,0.566,90.101,3vSEzy4IHVHeXid0g5qpy0,183173,4
6492,0.622,0.239,5,-18.982,0,0.0447,0.859,0.051,0.109,0.737,79.674,1m7IU75jWeuidLVFlyyae1,172867,4
6493,0.718,0.691,4,-6.44,1,0.0387,0.0159,0.0,0.0627,0.552,100.008,4GsxKlWNroKhGX1dzPDhCu,213107,4
6494,0.293,0.816,8,-5.432,1,0.0844,0.0401,2.95e-05,0.13,0.148,164.982,3jw1LtCe1zgaCI2VG1EsJh,347667,4
6495,0.58,0.748,4,-5.433,1,0.0323,0.00935,0.0,0.753,0.584,109.781,6tnR80DatANzWwQlUyhHuM,216760,4
6496,0.557,0.931,5,-3.489,0,0.0472,0.00143,7.37e-05,0.337,0.495,112.492,0QH1p3WfpoSErdRmWQzuew,242307,4
6497,0.646,0.956,9,-5.099,0,0.054,0.00307,0.00361,0.122,0.893,126.93,2BOgmZcsihkPhqrdj9P63T,209440,4
6498,0.62,0.961,11,-3.198,0,0.154,0.00523,0.0,0.0854,0.449,114.448,1sINx3jr9l1kI7RqgtmbGH,180267,4
6499,0.416,0.967,9,-2.289,0,0.109,0.000367,0.0,0.0632,0.431,171.032,5xUD7vOM4FejRyOTq2SLpG,192787,4
6500,0.495,0.954,4,-5.268,1,0.0607,0.00072,3.5e-05,0.266,0.72,100.125,0O4CDLE47g6vcOLTW5lkya,157000,4
6501,0.39,0.944,9,-8.229,1,0.0387,0.0114,0.0,0.113,0.712,103.886,599BfGqJKIpGqe4XYJ7ciA,313800,4
