,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
43,0.416,0.273,2,-17.365,1,0.129,0.972,1.75e-05,0.327,0.327,90.506,262KmCSAyMhHHR5OF0JpHB,520813,3
44,0.26,0.137,0,-19.227,1,0.0492,0.978,3.6e-05,0.271,0.0817,79.344,0mnld0md7QuZLUZh2KyHlE,217787,4
45,0.495,0.262,0,-16.186,1,0.0514,0.959,0.000204,0.09,0.483,126.906,3PCMejNLj9tD45SGaIwoUv,205480,4
46,0.247,0.216,2,-17.43,1,0.054,0.982,0.000279,0.0787,0.146,89.03,4457iK73U8UoeABRYyAAsU,357787,4
47,0.423,0.387,9,-14.158,1,0.0783,0.969,0.00179,0.0879,0.442,88.572,75DoNbzqVcIIRGhblftH3p,205533,4
48,0.336,0.195,8,-16.849,1,0.0564,0.983,8.34e-06,0.265,0.0669,69.443,0RzPIJiNOqhtqRuFSxXNKi,250373,4
49,0.482,0.362,0,-13.335,1,0.0847,0.972,6.67e-05,0.0796,0.52,68.019,2qnLuX1pcPRvVWWCDezXo4,103293,4
50,0.424,0.358,0,-14.938,1,0.0755,0.968,9.63e-05,0.0716,0.498,132.973,4oO5N82kdd8hgpbdl7k5iu,259467,4
51,0.287,0.255,9,-16.773,1,0.0815,0.982,0.000105,0.0762,0.205,84.505,6B3tZpf65lxfzlTf1OvuGn,420640,4
52,0.299,0.325,0,-15.15,1,0.0935,0.975,3.03e-05,0.113,0.269,65.1,3NlI31Ma2E0cSK8xTzYn50,287160,4
53,0.419,0.304,0,-15.06,1,0.121,0.973,0.000177,0.0949,0.131,123.182,6Jw4CkcuCh1p7qZdkp81S2,409747,4
54,0.374,0.354,7,-13.925,1,0.082,0.942,2.13e-06,0.5,0.33,126.632,6H4srGhHoLCx6OZ4gLH51t,289787,3
55,0.436,0.162,5,-19.095,1,0.108,0.983,0.0,0.361,0.126,134.398,3vP8UUqul14y8h2gSvKaFe,337027,1
56,0.229,0.197,9,-18.078,0,0.0618,0.989,9.62e-05,0.107,0.103,83.789,2yejF9FHz6IQ9WaBqC0WvV,327867,4
57,0.258,0.229,0,-16.499,1,0.0501,0.978,0.000215,0.135,0.216,170.047,2dcwfgaN7TodiUL8cxEgMA,537373,3
58,0.221,0.22,3,-13.289,1,0.0392,0.929,0.862,0.109,0.086,173.521,6nFfOIZRmzoe6Lz7lr4LPN,805120,3
59,0.398,0.466,10,-13.379,1,0.0535,0.896,0.844,0.0857,0.34,106.775,3JHYdTmLHyS7Yx3JTSNnGm,400733,4
60,0.0854,0.159,2,-13.775,1,0.0441,0.922,0.933,0.159,0.0396,84.484,2mEGYKsYlO3cNObXayDgfY,497400,4
61,0.464,0.305,3,-10.955,1,0.0363,0.912,0.89,0.126,0.288,81.535,1Nng8IU3rqUae9au5n12SE,403533,4
62,0.285,0.228,7,-14.227,1,0.0339,0.896,0.868,0.0971,0.0923,132.542,76A6DSEGFoxiP2P6GqkBxv,545840,3
63,0.233,0.176,5,-16.576,1,0.0369,0.962,0.755,0.15,0.129,95.097,0Ooly7UKwczFKe98xq9Yhg,328213,4
64,0.189,0.179,1,-15.41,1,0.0342,0.926,0.886,0.0637,0.0381,140.915,0Wk72XVZo2SNXRuIKRkEtn,1011840,3
65,0.125,0.182,2,-17.917,1,0.0437,0.941,0.896,0.143,0.187,84.244,49SMNR5R4s4RGxAGVYwxm8,512333,4
66,0.301,0.191,5,-18.391,1,0.0379,0.939,0.829,0.101,0.302,103.969,1IVOY79VR7s9sWSYzldzll,295427,3
67,0.172,0.124,9,-21.811,1,0.0476,0.921,0.849,0.108,0.0632,162.332,78fQBzGK2VcwX6HzfntX2i,491267,4
68,0.329,0.211,2,-19.242,1,0.0441,0.944,0.769,0.35,0.141,113.793,3mGwqawVGFro2S0LhciYq0,433933,4
69,0.15,0.277,8,-12.175,1,0.036,0.957,0.127,0.116,0.24,32.121,1eNOjv4KTksBHN6WJpi7tO,170366,4
70,0.0778,0.0405,11,-23.816,1,0.0421,0.981,0.213,0.0975,0.038,174.715,2uQZ5widY84ncMJiW2jpuZ,283933,4
71,0.116,0.0289,4,-26.111,0,0.042,0.968,0.00481,0.104,0.0295,74.633,0GL4ilOClX949x6TMHshF8,1027493,3
72,0.0816,0.00619,4,-45.526,0,0.0426,0.991,0.819,0.0663,0.034,172.693,1xYQL0Xugf3RzeYuShwAvo,225440,5
73,0.0657,0.129,11,-26.021,0,0.0481,0.991,0.0217,0.207,0.0397,70.895,2aI20NwqKKVdBieqcSlcvX,269573,4
74,0.0776,0.161,10,-19.77,1,0.0473,0.995,0.738,0.105,0.0279,174.444,3SbvJxKtZnhYoufbtQBp1I,179627,4
