position,company,reviews,state,city,data scientist,data analyst,machine learning,research,data engineer,work experience
6964,6964,6964,6964,6964,6964,6964,6964,6964,6964,2509
5217,2212,561,11,92,2,2,2,2,2,103
data scientist,amazon.com,nan,ca,new york,False,False,False,False,False,5 years
355,358,1638,2152,848,5520,6773,6436,5782,6778,406
