position,company,reviews,state,city,data scientist,data analyst,machine learning,research,data engineer,work experience
development director,als tdi,nan,ga,atlanta,False,False,False,False,False,6-8 years
an ostentatiously-excitable principal research assistant to chief scientist,the hexagon lavish,nan,ga,atlanta,False,False,False,True,False,
data scientist,xpert staffing,nan,ga,atlanta,True,False,False,False,False,
data analyst,operation hope,44.0,ga,atlanta,False,True,False,False,False,25 years
assistant professor -tt - signal processing & machine learning,emory university,550.0,ga,atlanta,False,False,True,False,False,
manager of data engineering,mckinsey & company,385.0,ga,atlanta,False,False,False,False,True,
"product specialist - periscope, new ventures",mckinsey & company,385.0,ga,atlanta,False,False,False,False,False,5-7 years
"junior to mid-level engineer, geologist or environmental scientist",wood,899.0,ga,atlanta,False,False,False,False,False,
analyst - cib credit research,suntrust,3343.0,ga,atlanta,False,False,False,True,False,
senior associate - cognitive data scientist natural language processing,kpmg,4494.0,ga,atlanta,True,False,False,False,False,
statistical forecast analyst,the home depot,38844.0,ga,atlanta,False,False,False,False,False,1 years
health scientist iii-cpts,chenega corporation,390.0,ga,atlanta,False,False,False,False,False,
"senior associate, data scientist",kpmg,4494.0,ga,atlanta,True,False,False,False,False,
assistant scientist (ar) som,emory university,550.0,ga,atlanta,False,False,False,False,False,
business intelligence data science analyst - supply chain,newell brands,912.0,ga,atlanta,True,False,False,False,False,
data scientist,cotiviti,104.0,ga,atlanta,True,False,False,False,False,
senior structural engineer-transmission & distribution,burns & mcdonnell,152.0,ga,atlanta,False,False,False,False,False,7 years
senior mobile developer (ios/android),perficient,44.0,ga,atlanta,False,False,False,False,False,
data scientist,relus cloud,nan,ga,atlanta,True,False,False,False,False,
data scientist,inspire brands,nan,ga,atlanta,True,False,False,False,False,
senior electrical engineer,burns & mcdonnell,152.0,ga,atlanta,False,False,False,False,False,7 years
"sr. manager, full stack development, kpmg tax ignition",kpmg,4494.0,ga,atlanta,False,False,False,False,False,15 years
data scientist,norfolk southern corp,722.0,ga,atlanta,True,False,False,False,False,
data scientist - supply chain,the home depot,38844.0,ga,atlanta,True,False,False,False,False,3 years
"data scientist, keying & linking",equifax,447.0,ga,atlanta,True,False,False,False,False,
data scientist,airsage,nan,ga,atlanta,True,False,False,False,False,5 years
data scientist 1 – ap forensics team,the home depot,nan,ga,atlanta,True,False,False,False,False,7 years
data scientist - icl,georgia tech research institute,496.0,ga,atlanta,True,False,False,False,False,
"data scientist, online",the home depot,38844.0,ga,atlanta,True,False,False,False,False,0 years
data scientist - consultant level - orlando florida - we will help relocate,capgemini,5720.0,ga,atlanta,True,False,False,False,False,1-4 years
senior data scientist,catalina marketing,78.0,ga,atlanta,True,False,False,False,False,
business intelligence data scientist - supply chain,newell brands,912.0,ga,atlanta,True,False,False,False,False,
entry level/junior-level scientist,"kleinfelder, inc.",92.0,ga,atlanta,False,False,False,False,False,0-3 years
scientist - data analysis,american cancer society,959.0,ga,atlanta,False,True,False,False,False,
data scientist,salesloft,7.0,ga,atlanta,True,False,False,False,False,
data scientist,mckesson,3558.0,ga,atlanta,True,False,False,False,False,2 years
data scientist,the intersect group,29.0,ga,atlanta,True,False,False,False,False,3 years
health scientist,centers for disease control and prevention,350.0,ga,atlanta,False,False,False,False,False,5 years
data scientist,om partners,nan,ga,atlanta,True,False,False,False,False,
data scientist - space optimization,the home depot,38844.0,ga,atlanta,True,False,False,False,False,3 years
"data science specialist - periscope, new ventures",mckinsey & company,385.0,ga,atlanta,True,False,False,False,False,
senior data scientist,cotiviti,104.0,ga,atlanta,True,False,False,False,False,
manager - data scientist ! orlando!,capgemini,5720.0,ga,atlanta,True,False,False,False,False,5-10 years
scientist ii,the coca-cola company,7236.0,ga,atlanta,False,False,False,False,False,1-3 years
lead data scientist,norfolk southern corp,722.0,ga,atlanta,True,False,False,False,False,
senior data scientist,norfolk southern corp,722.0,ga,atlanta,True,False,False,False,False,
"data scientist - consultant level - orlando, florida - we will assist with relocation",capgemini,5720.0,ga,atlanta,True,False,False,False,False,1-4 years
flight safety data analysis fall co-op,delta air lines,2963.0,ga,atlanta,False,True,False,False,False,
