,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre,year
41,0.113,0.232,9,-18.669,1,0.0422,0.881,0.861,0.0855,0.0353,80.142,14mmKjjyfCeGVe8jEzQTLQ,324000,3,1,2019
42,0.539,0.0713,9,-23.29,1,0.0927,0.934,0.956,0.111,0.0784,131.982,3I5PbrVx6SHd9TFUvdolZD,150000,4,1,2019
43,0.134,0.344,2,-16.37,0,0.0372,0.971,0.81,0.35,0.0639,92.79,3xs7sCvx8ptBh8m5rd82hV,161251,1,1,2019
44,0.111,0.375,2,-11.014,0,0.0343,0.931,0.892,0.0893,0.0601,79.826,2VAK8v9k9TTBZVLjGaU9uq,261999,4,1,2019
45,0.291,0.203,3,-12.294,1,0.0361,0.964,0.886,0.381,0.218,139.244,3NRJFY6fvFVmUOYhEWlDuA,219988,4,1,2019
46,0.376,0.0622,9,-27.11,0,0.0381,0.994,0.935,0.107,0.384,100.901,1jK01waDIKvX7b6NV4sflk,317013,4,1,2005
47,0.337,0.0547,5,-27.262,1,0.0402,0.994,0.906,0.135,0.303,169.175,33gmCx0ewkUM90Aq05n0fK,406840,3,1,2005
48,0.369,0.0776,2,-27.261,1,0.0396,0.993,0.915,0.0974,0.37,104.012,1C02z3A8UPKpaQmvVlTk4r,257253,4,1,2005
49,0.316,0.0491,8,-30.002,1,0.0393,0.995,0.906,0.144,0.338,88.619,2DIphGiCtC8x807yUZfXPv,487200,4,1,2005
50,0.517,0.0592,0,-28.52,0,0.0404,0.994,0.924,0.133,0.44,81.042,3IIaynk6e85L9dFJlooOUD,335693,4,1,2005
51,0.418,0.0949,5,-25.987,0,0.0466,0.992,0.91,0.165,0.473,117.95,4uDweX9aFPPGZKW4HUquIf,231933,4,1,2005
52,0.304,0.0232,3,-30.98,0,0.0459,0.994,0.918,0.182,0.112,82.915,3qAXF1TR1klB39JDW1P0b6,551493,4,1,2005
53,0.411,0.0912,0,-25.935,1,0.0397,0.993,0.926,0.116,0.352,110.694,6AVLdj2qISfcKKNarTSJ6L,270680,4,1,2005
54,0.437,0.0465,4,-27.684,0,0.044,0.995,0.936,0.102,0.226,102.345,2DP51GF489banVQyHLg3eV,464387,4,1,2005
55,0.406,0.0493,0,-28.656,0,0.0438,0.993,0.922,0.117,0.0689,136.376,4Amtn0QZiDc40x62X5TrTb,391613,4,1,2005
56,0.377,0.102,0,-25.804,1,0.0359,0.995,0.94,0.0912,0.317,91.865,3e4g26NjH2phODElMpwoUn,386307,4,1,2005
57,0.432,0.504,5,-13.214,0,0.0368,0.409,0.334,0.16,0.531,106.031,36Eosqm3o2OBGrJCovMiML,496813,5,1,2018
58,0.448,0.669,5,-13.0,0,0.0404,0.076,0.216,0.382,0.548,106.631,1vo50XQ3U8Bo3OrOzzVIKh,482333,4,1,2018
59,0.443,0.427,0,-13.03,1,0.0305,0.487,0.0811,0.188,0.318,137.144,0kjN350UWtl1ANCe4XnzZ5,491227,4,1,2018
60,0.218,0.00756,0,-21.922,1,0.0407,0.985,0.966,0.0995,0.167,70.251,0tpZ5yh5DDOxOXSsW0aDpt,359440,3,1,2018
61,0.396,0.621,2,-14.172,1,0.0402,0.617,0.838,0.164,0.416,132.157,6tWep0sHcvfHHXq0AgIy4p,359373,4,1,2018
62,0.401,0.408,7,-14.732,1,0.0448,0.683,0.737,0.185,0.422,170.806,6BsyTCi5iSsLndL8fgOMXf,439880,4,1,2018
63,0.377,0.293,1,-14.207,1,0.0336,0.633,0.241,0.198,0.289,184.166,4ArJ4xdvVKysi6DTNCiDBX,471987,3,1,2018
64,0.595,0.576,11,-12.359,1,0.0415,0.611,0.164,0.0482,0.846,149.269,2MUZUV30YOg40JAgZToIyq,434413,4,1,2018
65,0.768,0.293,5,-8.647,0,0.0418,0.95,1.44e-05,0.094,0.252,117.05,1Gxyx7dI7KCleW0zza1Rbi,213067,4,1,2012
66,0.583,0.101,5,-11.399,1,0.0437,0.939,3.78e-06,0.117,0.368,113.251,7mMSYIlYLsaVS2DN4lfla4,184200,4,1,2012
67,0.682,0.447,9,-9.005,1,0.028,0.858,0.00106,0.259,0.544,108.637,0y4Z5oYDMWGIjSz6wx694n,201840,4,1,2012
68,0.543,0.126,0,-12.262,1,0.0482,0.94,0.000597,0.108,0.121,147.233,3au1Z5PVLDRye9KESVTHVU,311547,3,1,2012
69,0.378,0.487,0,-6.654,0,0.0312,0.913,0.00507,0.0963,0.476,76.737,1tvj8v1p3Uxwo7u1PXGXpu,212947,4,1,2012
70,0.505,0.148,4,-12.287,0,0.0485,0.937,0.00355,0.115,0.105,93.229,4kyA3NEH3Ai8zN7V8hbMg3,286053,4,1,2012
71,0.45,0.378,7,-9.138,1,0.0342,0.879,4.94e-05,0.132,0.388,130.166,2jRYLZR0L1jTrhQmgK5kYg,181253,3,1,2012
72,0.455,0.296,2,-10.676,1,0.034,0.981,0.0519,0.107,0.179,179.586,7nONOZyCP794o1rsSEQsag,254333,4,1,2012
73,0.487,0.171,7,-12.419,1,0.0339,0.899,0.0204,0.116,0.192,111.68,5IcFTpBKDSkZmyK84GYPCb,177960,4,1,2012
74,0.79,0.291,2,-10.302,1,0.0382,0.926,0.00791,0.0986,0.367,115.015,3pEhS93ut9Ny8NKAmDepUh,192373,5,1,2012
75,0.481,0.19,4,-11.193,1,0.0346,0.98,3.02e-05,0.099,0.0744,116.825,0azdDjdCBBibFFZzixtYtI,181800,4,1,2012
76,0.495,0.253,7,-9.862,0,0.0273,0.975,0.0018,0.111,0.18,137.935,2ccJwSX754fJnPjBmazmQK,203906,4,1,2012
77,0.698,0.241,2,-12.854,1,0.0358,0.98,0.00197,0.101,0.27,130.034,3vO7lD3TRf0urpknqNJRyG,222120,4,1,2012
78,0.468,0.0934,7,-14.787,1,0.0352,0.981,0.0319,0.108,0.172,109.772,5ex48fjd3N90XLF9kdctpd,244173,4,1,2012
79,0.478,0.0534,9,-27.346,0,0.102,0.922,0.902,0.1,0.104,74.52,1ts0TYM0xWF4H8HtWKcGC2,52467,5,1,2012
80,0.441,0.39,10,-14.895,0,0.0477,0.277,0.591,0.125,0.406,116.89,4xjfn6BlpwoNuTHZ4yOsRV,458480,4,1,2012
81,0.225,0.095,0,-22.334,1,0.0355,0.893,0.734,0.0821,0.0788,66.184,0z2eLxEqhI8deQsf3MdGBr,361840,4,1,2012
82,0.358,0.248,5,-15.236,1,0.0339,0.84,0.796,0.109,0.521,84.519,3WUSDIxcIL8wp4c2X800Bq,183520,4,1,2012
83,0.454,0.449,0,-13.55,1,0.0751,0.591,0.261,0.0969,0.42,92.541,7JjEKhviYKxsiV8cXH3XJk,336067,3,1,2012
84,0.392,0.296,0,-13.876,1,0.0337,0.569,0.878,0.113,0.287,137.798,6DkUAYP5Sn9RrCVcoBeXBz,435813,4,1,2012
85,0.215,0.027,11,-29.032,0,0.0522,0.99,0.0534,0.0896,0.156,71.323,13M9SiZNChFS7y3qPiVlnc,143000,3,1,2012
86,0.167,0.138,2,-19.588,0,0.0352,0.765,0.761,0.109,0.0553,73.618,6vNizZRvYTlt9JhC70LSC7,388493,4,1,2012
87,0.5,0.409,0,-13.973,1,0.0608,0.545,0.645,0.179,0.691,89.147,5QnC7iWvWxa8dt7gVM7Efx,532773,4,1,2012
88,0.257,0.0587,7,-18.583,0,0.034,0.943,0.937,0.109,0.105,143.69,70UJgcds66aOMN8sLRfnKk,208947,4,1,2012
89,0.398,0.514,8,-9.475,1,0.0819,0.883,0.5,0.702,0.207,117.612,7rEq6R8h2GmLRWpNz8t7Rv,681800,3,1,2008
90,0.365,0.349,9,-11.816,0,0.0415,0.801,0.00971,0.681,0.0967,115.247,6Mk7PirrlbffqePoEU2Cug,760293,5,1,2008
91,0.351,0.634,7,-10.217,0,0.22,0.476,0.0986,0.685,0.317,78.953,4xbnO28tLDGJij0LlTM2k9,844533,4,1,2008
92,0.373,0.302,10,-12.949,1,0.0484,0.864,0.0754,0.682,0.187,97.229,2TM9oEF2DIiw5KPmGX3SvW,340400,4,1,2008
93,0.361,0.468,4,-8.625,0,0.0494,0.774,0.546,0.918,0.171,120.787,6o83VkGXX4OIi5TWqDdfVz,834013,4,1,2008
94,0.311,0.474,7,-9.639,0,0.0589,0.773,0.422,0.693,0.142,144.348,1CwDptNb9SflNjy7TnF8Br,893160,4,1,2008
95,0.328,0.422,5,-11.154,1,0.118,0.756,0.172,0.688,0.216,62.254,5VpUEJ9L90NW1Y8fCT8W31,562373,4,1,2008
96,0.345,0.418,4,-11.447,0,0.048,0.881,0.649,0.666,0.0952,129.784,2WvNlBiOy9hSMs4Z97wC15,971293,3,1,2008
97,0.481,0.723,5,-9.711,0,0.238,0.619,0.329,0.667,0.526,118.957,64PwtXH0zkJIhHAwpfNuG4,643813,4,1,2008
98,0.486,0.433,5,-10.422,1,0.0294,0.813,0.563,0.082,0.287,106.313,2U0xtBgKAYiGrsznWNmSlo,334387,4,1,2018
99,0.522,0.512,1,-9.614,1,0.0657,0.756,0.499,0.295,0.448,103.02,33wjhXvyDzRlaDDEt3CaAC,306573,3,1,2018
100,0.493,0.485,8,-9.981,1,0.0324,0.704,0.711,0.134,0.403,119.047,21jd7MxsZG9LporoXy3o26,363307,4,1,2018
101,0.301,0.261,1,-13.05,1,0.0275,0.884,0.864,0.252,0.191,83.665,3Qcixwccoqfmkyyd209J2F,417267,4,1,2018
102,0.525,0.435,0,-11.533,0,0.093,0.73,0.912,0.062,0.619,81.541,3yEtZi5Ia4Bj9X3rduIzOB,410293,4,1,2018
103,0.406,0.169,4,-14.475,0,0.0394,0.943,0.0292,0.144,0.0916,118.856,3l23lnIxvkCFmagBjMldEH,351840,4,1,2018
104,0.383,0.412,9,-12.096,0,0.086,0.743,0.868,0.101,0.352,84.774,2M2Uot2qQRicFysp9WLz3A,545133,4,1,2018
105,0.384,0.401,2,-10.399,0,0.0383,0.688,0.697,0.115,0.283,82.666,4ADRKk03jcrf12ixyk2Gpr,378547,4,1,2018
106,0.36,0.259,7,-13.713,1,0.0353,0.881,0.839,0.113,0.238,80.267,4Z1CNdnSvxT2q46tGYWPzd,486387,4,1,2018
