danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.35,0.219,1,-16.528,1,0.0427,0.824,0.308,0.0877,0.0355,78.343,50StcC9O7MzeD3AVPSexyF,81125,1
0.0903,0.065,3,-25.986,1,0.0427,0.935,0.694,0.106,0.0315,79.101,59doufIUWeeZb8NuAgTDm2,162361,3
0.194,0.116,1,-15.921,1,0.038,0.844,0.456,0.139,0.0323,87.227,70zi2Zc2yKkdupWGacLmhK,186242,4
0.212,0.0515,2,-17.21,1,0.0377,0.971,0.285,0.0762,0.0354,109.512,3BYnPqOhSa2YM8NVuidKez,277172,3
0.227,0.257,11,-14.964,1,0.0495,0.932,0.454,0.106,0.0306,112.859,7e59mzvOl4r46T68tly9Sg,196279,4
0.0825,0.0129,4,-30.939,0,0.0416,0.96,0.3,0.176,0.0299,170.613,3tWOkBfTniBb2S21oVcV4Z,117346,1
0.157,0.0292,10,-29.867,1,0.0462,0.98,0.908,0.144,0.0341,135.179,0n4WDfFfwyQozrLHknXmos,295190,4
0.136,0.092,5,-20.742,1,0.0513,0.865,0.402,0.406,0.0354,82.893,4JA5fwXuhkxzfhcmfApdzs,152684,3
0.231,0.46,7,-12.09,1,0.0542,0.848,0.774,0.114,0.0378,95.914,43rFpvuz3kNVQQrSoFmt65,167940,4
0.0885,0.113,8,-22.149,1,0.0401,0.886,0.42,0.0519,0.0342,80.692,42zoUifgopxgCXm3FXPUot,178149,3
0.211,0.0198,7,-27.522,1,0.0431,0.977,0.589,0.131,0.0331,72.67,7k708NC38WwBHavIheIPEH,223973,3
0.337,0.651,0,-10.722,1,0.0786,0.779,0.475,0.146,0.073,78.795,3NH6wtLrRMlz6AZrfTOMD9,125148,3
0.163,0.332,0,-12.655,1,0.0378,0.933,0.694,0.0924,0.0384,79.921,2EyuAsb6fzRgiTMZq5pRVC,214841,3
0.249,0.0634,7,-16.136,1,0.041,0.95,0.941,0.112,0.105,39.702,2D6X8ASItfuLrABIt6Rng2,100529,3
0.092,0.0323,0,-23.024,1,0.0427,0.979,0.947,0.373,0.0372,80.501,3lLgvMdMgjDXjoFrFRdj2d,230867,4
0.134,0.138,7,-15.214,1,0.043,0.959,0.478,0.087,0.127,75.458,76um9xjBpouUhVoP13TlDs,205240,4
0.537,0.307,4,-10.967,1,0.0545,0.649,0.0,0.177,0.114,83.632,0HT6xI2MTQ7qk4yNA1IZUd,163387,4
0.567,0.543,5,-4.485,1,0.0313,0.613,0.0,0.106,0.299,89.937,6s9eRp2cduUNhuDhs3XHPp,209965,4
0.785,0.737,5,-7.094,1,0.268,0.271,0.0,0.0391,0.69,135.236,2ldoyUu1SRf96pQ6G5n3gY,164867,4
0.737,0.636,6,-6.308,0,0.0737,0.262,0.0,0.319,0.537,100.033,5ufE60D3rxtqP7xLrL4AEL,124733,4
0.691,0.425,3,-8.436,1,0.0287,0.805,1.89e-06,0.16,0.495,115.966,6z9SwcxnQkuFikXQ6SBSQB,124093,4
0.31,0.263,5,-8.659,1,0.0334,0.881,5.62e-05,0.299,0.346,88.25,0WxIedvuQofa8dAQj1tlfG,194160,1
0.645,0.45,4,-6.578,1,0.0333,0.0921,0.0,0.0889,0.379,107.875,3NtTKjbIK879ragqZCq3gC,152213,4
0.72,0.744,5,-5.826,1,0.137,0.756,0.0,0.121,0.828,99.961,24c1Ox0TIU0lHuzNJU1ZDN,194133,4
0.5,0.34,7,-9.537,1,0.169,0.534,0.0,0.59,0.703,77.116,5Mhe4bhcStvCgpuar6cBLU,110987,1
0.566,0.748,8,-6.549,1,0.0301,0.0643,5.16e-06,0.0925,0.614,96.586,1fTDYdx5zYfWJSX0JlKO8o,258133,4
0.602,0.596,4,-6.119,1,0.103,0.574,0.0,0.259,0.869,134.415,3QvZUbMhFBdUTmegQSkRH6,191867,4
0.695,0.655,4,-9.279,1,0.173,0.743,0.0,0.173,0.747,118.02,3dqvOY7rpOaVmINACruTNc,210320,4
0.345,0.187,5,-15.26,1,0.0459,0.789,0.0,0.601,0.445,81.196,2XQee7HP5QrDwUGHOl6GFf,176213,4
0.641,0.68,0,-7.64,1,0.23,0.485,0.0,0.101,0.574,146.114,4BEHMW1RcHJ0wOyKK1CH7B,185467,4
0.321,0.592,10,-8.365,1,0.0451,0.0323,0.0,0.323,0.557,83.415,7bhfPxNDc3Wtzu5Fx8FnNx,237560,4
0.705,0.702,5,-7.467,1,0.0285,0.318,0.00776,0.0661,0.948,114.543,7J2SpEpsLlEZDxi8WhS4ET,207827,4
0.588,0.807,8,-6.275,1,0.0399,0.164,0.00185,0.209,0.547,120.97,5Zb6JxSEcjsUNrINcAyAYJ,179587,4
0.683,0.701,6,-8.041,1,0.132,0.143,0.0,0.618,0.751,99.023,4Pi6vaAkWULKIk0PMtrAe1,202987,4
0.319,0.264,5,-8.641,0,0.0326,0.796,5.91e-06,0.16,0.163,107.98,4UPZJIxZPYrOvHrG6lkoR4,164280,4
0.468,0.566,0,-6.276,1,0.069,0.0236,0.0,0.35,0.225,114.683,1ZD3XHh6C1iu7S09knZ9r4,173765,4
0.506,0.609,5,-13.03,1,0.411,0.607,0.0,0.126,0.947,80.228,4NPNIgn2M5fGru5Eoqyibz,123027,4
0.375,0.639,2,-8.028,1,0.0468,0.121,0.0,0.127,0.302,118.867,2dSzuz0m6CVUYZ0bFykYZI,150640,3
0.665,0.42,2,-8.172,1,0.0333,0.434,4.22e-06,0.352,0.514,126.502,43CPZZnuEm6huXdm1PCa5w,148920,4
0.542,0.497,7,-9.583,1,0.159,0.479,0.0,0.754,0.674,123.976,4iNdKVQsCUGiLCgfMjEwqX,142440,4
0.425,0.437,4,-13.91,1,0.0488,0.613,0.0,0.624,0.822,89.833,38ovs3cYziFu5Mqjr3V2sN,143413,4
0.795,0.397,0,-11.372,1,0.058,0.755,1.64e-06,0.118,0.545,103.029,7wbbw0cwvQUnGYautJ2Eun,289733,4
0.465,0.353,7,-14.343,1,0.0718,0.429,0.0,0.151,0.596,168.105,2PosMnW2wZAis7DdmAdwG3,181507,4
0.688,0.782,1,-4.35,1,0.132,0.305,9.02e-06,0.375,0.533,107.054,2g2kJZcu1cFTw4aKE7w9Iq,142093,4
0.705,0.734,7,-4.526,1,0.0551,0.0255,0.0,0.158,0.455,117.976,3rDSoeY2zZkIcypKOvtLl4,189870,4
0.501,0.498,2,-7.383,1,0.0284,0.709,0.0,0.123,0.308,139.051,0buWWJU9TGVJUWCkEsHKos,160587,4
0.493,0.705,11,-7.372,1,0.145,0.268,9.03e-05,0.17,0.477,158.061,2cF9W802SjPUiBkj3ymvI9,145400,4
0.742,0.415,10,-13.886,1,0.119,0.936,5.19e-05,0.174,0.768,108.458,5fVT8zYJQaS7U0XGZBn5QO,81813,4
0.671,0.235,0,-15.638,1,0.0471,0.75,0.0,0.357,0.751,134.924,5cEvMhXUrkCt8kTm47NU8y,160880,4
0.605,0.475,0,-6.348,1,0.316,0.868,0.0,0.175,0.645,85.511,6myQI0BFJNyW8MKkNH35Fh,50773,1
0.715,0.946,7,-3.541,1,0.0896,0.164,0.0,0.0659,0.895,163.085,1ujI34NkQGLxiWxeLG7uNf,117840,4
0.426,0.953,9,-3.283,1,0.106,0.155,0.0,0.132,0.678,169.933,0IHMk2Da09n0HE4na80qrs,182707,4
0.737,0.741,2,-4.83,1,0.0881,0.316,0.0,0.16,0.851,105.075,4OXw7qETXT1o2txFMHbO6H,139733,4
0.604,0.869,2,-3.558,1,0.121,0.00875,1.64e-05,0.582,0.5,103.008,2Hc6tujxbglgNj3OvCXuDX,181440,4
0.525,0.714,0,-6.72,1,0.0411,0.14,4.32e-06,0.117,0.636,195.759,1kMurUbzOvqfcY8xAMfQzn,164170,4
0.476,0.934,0,-3.579,1,0.137,0.00546,0.0,0.202,0.758,200.021,6e6eRspgxV6UhhN6Xos3D0,208867,4
0.344,0.463,0,-5.586,1,0.0317,0.802,1.21e-05,0.319,0.373,98.43,7BDMDLn1Yvw7Swtujz2L1s,170493,4
0.6,0.146,7,-14.326,1,0.0437,0.927,0.000448,0.11,0.274,112.993,6xYjaKOFHvunKDjITQPXoO,188747,4
0.447,0.0609,4,-12.652,0,0.0431,0.92,0.000171,0.106,0.169,164.021,1TMu3Z5XzNXPA2878WQbsx,261973,3
0.751,0.621,9,-7.431,0,0.166,0.562,2.2e-05,0.333,0.624,78.988,1TJBqS7OM2xB15CX859MI7,238481,4
0.483,0.834,8,-6.158,0,0.347,0.114,2.83e-06,0.331,0.604,79.592,4i4CzJy131451uW7CygP9g,240071,4
