,dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
0,1606266000,2,350.48,0.59,33.93,10.64,4.59,15.35,17.04,0.44
1,1606269600,2,333.79,0.24,28.45,16.63,4.53,14.85,16.36,0.42
2,1606273200,2,333.79,0.17,27.42,19.49,4.95,15.1,16.48,0.43
3,1606276800,2,333.79,0.14,27.76,21.64,6.91,15.34,16.66,0.73
4,1606280400,2,340.46,0.16,29.13,22.53,6.08,15.48,16.82,0.49
5,1606284000,2,373.84,0.61,37.36,17.35,7.27,16.49,18.02,0.6
6,1606287600,2,413.9,1.72,46.61,10.28,8.7,17.34,19.12,0.81
7,1606291200,2,427.25,3.69,48.67,9.12,9.42,17.12,19.03,0.91
8,1606294800,2,413.9,6.37,42.16,16.63,9.78,16.33,18.32,0.96
9,1606298400,2,373.84,4.92,35.3,26.46,9.54,14.16,16.07,0.98
10,1606302000,2,350.48,3.21,33.59,31.47,9.54,12.32,14.15,1.0
11,1606305600,2,333.79,1.52,33.59,34.69,9.66,10.56,12.26,1.0
12,1606309200,2,343.8,1.38,38.39,32.54,9.66,10.17,11.78,0.94
13,1606312800,2,390.53,2.6,48.67,22.53,10.01,11.44,13.18,0.91
14,1606316400,2,423.91,2.49,57.58,11.98,9.42,12.64,14.5,0.92
15,1606320000,2,440.6,3.74,61.01,4.6,8.82,13.72,15.67,0.94
16,1606323600,2,467.3,7.82,62.38,1.45,8.94,14.85,16.89,0.93
17,1606327200,2,500.68,12.18,63.06,0.49,9.66,16.44,18.6,0.93
18,1606330800,2,520.71,14.08,61.69,0.32,10.13,17.95,20.16,0.9
19,1606334400,2,514.03,12.85,58.95,0.37,9.89,18.76,21.0,0.84
20,1606338000,2,507.36,11.29,56.89,0.49,9.54,19.69,21.94,0.78
21,1606341600,3,480.65,8.27,54.84,0.88,8.35,20.01,22.14,0.67
22,1606345200,2,433.92,3.41,49.35,2.91,5.9,19.18,21.02,0.49
23,1606348800,2,390.53,1.12,42.5,6.97,4.47,18.4,19.98,0.38
24,1606352400,2,373.84,0.61,37.7,9.92,3.93,18.23,19.65,0.34
25,1606356000,2,367.17,0.45,34.62,11.8,3.79,18.31,19.63,0.32
26,1606359600,2,360.49,0.36,32.22,13.77,3.82,18.63,19.9,0.31
27,1606363200,2,353.81,0.28,29.82,15.91,3.93,19.61,20.86,0.31
28,1606366800,3,353.81,0.3,29.13,17.35,4.41,21.35,22.64,0.34
29,1606370400,3,387.19,0.98,35.64,13.05,6.32,24.3,25.76,0.49
30,1606374000,4,423.91,2.1,43.87,8.23,8.23,27.23,28.93,0.61
31,1606377600,4,440.6,2.54,47.98,6.62,9.06,28.77,30.63,0.63
32,1606381200,4,420.57,1.51,43.87,11.09,9.06,28.85,30.75,0.57
33,1606384800,4,380.52,0.55,34.27,21.1,8.11,27.58,29.35,0.48
34,1606388400,4,357.15,0.33,29.13,26.82,7.45,26.33,28.0,0.48
35,1606392000,3,343.8,0.21,26.39,28.97,6.91,24.51,26.11,0.51
36,1606395600,3,330.45,0.22,23.99,31.11,6.38,22.18,23.54,0.48
37,1606399200,3,320.44,0.15,23.31,31.11,6.02,20.7,21.92,0.52
38,1606402800,2,317.1,0.08,23.65,30.04,5.72,19.58,20.76,0.56
39,1606406400,2,320.44,0.12,25.36,27.18,5.54,18.96,20.13,0.58
40,1606410000,2,333.79,0.28,29.13,20.92,5.78,18.85,20.05,0.59
41,1606413600,2,350.48,0.66,32.56,14.66,6.38,19.66,21.01,0.55
42,1606417200,3,377.18,1.87,35.99,7.51,7.27,21.11,22.95,0.6
43,1606420800,3,400.54,4.64,37.01,2.17,7.63,22.52,24.95,0.65
44,1606424400,3,413.9,8.16,34.96,0.54,7.51,23.32,26.26,0.69
45,1606428000,3,427.25,12.18,32.56,0.1,7.03,23.76,26.89,0.7
46,1606431600,3,417.23,13.19,29.82,0.03,5.42,23.24,26.09,0.6
47,1606435200,3,400.54,12.29,27.08,0.02,4.53,22.34,24.83,0.56
48,1606438800,3,383.85,11.29,24.68,0.03,4.29,21.7,23.88,0.54
49,1606442400,3,370.5,9.72,23.65,0.06,4.29,21.04,22.96,0.5
50,1606446000,3,357.15,7.82,22.96,0.14,4.47,20.31,22.17,0.47
51,1606449600,2,343.8,5.98,22.62,0.26,4.77,19.36,21.22,0.44
52,1606453200,2,347.14,7.71,21.94,0.13,5.42,19.05,20.83,0.5
53,1606456800,3,397.21,17.21,22.62,0.02,8.11,20.72,22.58,0.79
54,1606460400,3,473.98,32.19,24.33,0.0,11.33,23.66,25.76,1.16
55,1606464000,4,520.71,41.13,25.71,0.01,13.11,25.5,27.86,1.33
56,1606467600,4,534.06,43.36,26.73,0.04,13.95,25.74,28.35,1.39
57,1606471200,3,500.68,32.63,32.9,0.23,14.9,22.8,25.53,1.22
58,1606474800,2,453.95,23.25,38.39,0.61,15.14,19.97,22.94,1.14
59,1606478400,2,413.9,17.66,36.67,1.03,13.47,17.38,20.54,1.14
60,1606482000,2,360.49,10.62,32.9,2.35,10.49,13.9,17.11,1.05
61,1606485600,2,327.11,6.04,31.53,2.84,8.82,11.48,14.62,1.0
62,1606489200,2,317.1,3.52,32.22,3.62,8.11,10.38,13.36,1.0
63,1606492800,2,320.44,3.91,31.87,3.17,7.33,10.21,13.12,1.12
64,1606496400,2,337.12,7.38,31.19,1.19,6.97,10.98,13.91,1.25
65,1606500000,2,363.83,10.28,31.19,0.62,7.39,11.75,14.53,1.31
66,1606503600,2,370.5,9.16,31.87,0.96,7.57,11.61,14.13,1.3
67,1606507200,2,350.48,4.64,32.22,3.22,7.03,10.28,12.52,1.2
68,1606510800,1,330.45,1.77,29.13,8.14,6.56,9.01,11.06,1.14
69,1606514400,1,290.39,0.22,22.62,24.32,5.48,7.06,8.66,0.94
70,1606518000,1,257.02,0.02,14.91,39.34,3.99,5.25,6.49,0.76
71,1606521600,1,233.65,0.0,9.43,50.78,2.74,3.96,4.93,0.67
72,1606525200,1,223.64,0.0,6.77,59.37,2.12,3.05,3.82,0.61
73,1606528800,1,223.64,0.0,6.26,64.37,2.15,2.61,3.28,0.59
74,1606532400,1,223.64,0.0,6.51,65.8,2.47,2.69,3.31,0.55
75,1606536000,1,223.64,0.0,6.94,62.94,2.86,3.26,3.89,0.5
76,1606539600,1,226.97,0.0,8.05,58.65,3.4,4.29,5.06,0.42
77,1606543200,1,243.66,0.01,12.51,50.07,4.53,6.22,7.29,0.34
78,1606546800,1,260.35,0.03,16.45,42.2,5.31,8.4,9.72,0.21
79,1606550400,1,260.35,0.06,16.79,39.7,5.36,8.91,10.23,0.14
80,1606554000,1,253.68,0.26,14.22,42.2,5.01,7.84,8.99,0.16
81,1606557600,1,243.66,0.36,11.48,48.64,4.47,5.65,6.52,0.27
82,1606561200,1,240.33,0.28,10.71,53.64,4.35,4.31,5.04,0.4
83,1606564800,1,240.33,0.17,10.8,54.36,4.41,3.6,4.26,0.52
84,1606568400,1,290.39,0.78,23.99,37.91,5.84,4.74,5.65,0.89
85,1606572000,2,377.18,4.25,43.87,13.41,8.35,7.69,9.14,1.41
86,1606575600,2,447.27,11.96,53.47,1.65,11.68,10.35,12.34,2.31
87,1606579200,2,480.65,20.12,50.72,0.14,12.52,11.5,13.91,2.91
88,1606582800,2,460.63,19.67,46.61,0.17,8.7,10.66,13.2,1.95
89,1606586400,2,413.9,11.85,42.5,0.87,6.38,8.74,11.16,1.16
90,1606590000,1,373.84,6.26,36.33,1.9,5.19,6.99,9.23,0.85
91,1606593600,1,373.84,7.82,30.85,1.19,4.89,6.8,8.95,0.8
92,1606597200,1,370.5,7.82,27.76,1.24,4.59,6.46,8.38,0.83
93,1606600800,1,370.5,8.05,26.73,1.11,4.17,6.23,7.78,0.83
94,1606604400,1,347.14,6.31,24.68,1.3,2.92,5.3,6.44,0.78
95,1606608000,1,323.77,4.41,22.28,1.99,3.82,4.65,5.54,1.62
96,1606611600,1,310.42,3.38,20.56,2.71,3.28,4.37,5.14,1.33
97,1606615200,1,297.07,2.04,18.85,4.51,2.09,3.91,4.72,0.59
98,1606618800,1,283.72,0.81,16.11,9.21,1.82,3.39,4.22,0.5
99,1606622400,1,263.69,0.14,11.48,19.13,1.68,2.87,3.67,0.46
100,1606626000,1,260.35,0.12,10.97,22.89,1.86,2.8,3.63,0.45
101,1606629600,1,280.38,0.33,15.59,20.03,2.83,3.42,4.31,0.52
102,1606633200,1,297.07,0.64,20.39,16.27,3.55,3.87,4.81,0.6
103,1606636800,1,297.07,0.66,20.91,16.81,3.64,3.61,4.74,0.62
104,1606640400,1,280.38,0.58,17.31,23.96,3.37,2.86,4.04,0.59
105,1606644000,1,257.02,0.3,11.82,37.55,2.86,1.85,2.83,0.52
106,1606647600,1,243.66,0.27,9.6,42.92,2.65,1.31,2.21,0.53
107,1606651200,1,233.65,0.2,8.31,46.49,2.41,1.03,1.85,0.55
108,1606654800,1,226.97,0.13,7.54,51.5,2.21,0.9,1.56,0.53
109,1606658400,1,233.65,0.1,8.82,49.35,2.41,1.0,1.7,0.62
110,1606662000,1,236.99,0.02,9.77,48.64,2.44,1.07,1.8,0.67
111,1606665600,1,240.33,0.01,10.63,47.92,2.33,1.15,1.89,0.67
112,1606669200,1,247.0,0.02,12.51,45.42,2.44,1.35,2.14,0.65
113,1606672800,1,257.02,0.04,14.57,40.77,2.8,1.69,2.57,0.61
114,1606676400,1,263.69,0.06,15.77,36.84,3.04,2.09,3.06,0.59
115,1606680000,1,267.03,0.07,15.77,34.33,3.04,2.47,3.48,0.59
116,1606683600,1,267.03,0.1,16.11,30.76,3.13,3.35,4.37,0.58
117,1606687200,1,263.69,0.1,15.94,28.97,2.89,4.21,5.18,0.49
118,1606690800,1,250.34,0.03,12.34,34.33,2.15,3.93,4.73,0.4
119,1606694400,1,247.0,0.02,10.28,41.49,2.15,3.42,4.11,0.4
120,1606698000,1,247.0,0.01,9.77,45.06,2.3,3.21,3.88,0.41
121,1606701600,1,250.34,0.01,10.71,44.35,2.44,3.34,4.06,0.42
122,1606705200,1,257.02,0.02,12.34,41.49,3.46,3.77,4.56,0.68
123,1606708800,1,263.69,0.03,14.22,37.19,4.71,4.28,5.21,1.03
124,1606712400,1,273.71,0.08,17.82,31.47,4.41,5.02,6.19,0.72
125,1606716000,1,320.44,0.7,29.47,18.24,6.32,7.23,9.06,0.84
126,1606719600,2,380.52,3.41,41.81,6.08,8.94,10.14,12.93,1.05
127,1606723200,2,403.88,5.42,45.24,3.0,10.37,11.84,15.44,1.06
128,1606726800,2,377.18,3.74,40.1,8.76,10.37,11.31,15.06,0.92
129,1606730400,1,300.41,0.78,22.96,33.62,7.87,7.03,9.39,0.56
130,1606734000,1,270.37,0.48,16.45,45.06,7.03,4.98,6.78,0.49
131,1606737600,1,260.35,0.38,14.57,47.92,6.56,4.38,6.02,0.48
132,1606741200,1,267.03,0.51,16.79,44.35,6.91,5.12,6.53,0.6
133,1606744800,1,300.41,0.82,25.02,30.76,8.7,7.59,8.81,0.86
134,1606748400,2,340.46,0.76,35.3,16.81,9.66,10.06,11.25,1.06
135,1606752000,2,363.83,1.36,42.16,9.84,9.89,10.36,11.72,1.12
136,1606755600,2,377.18,2.32,45.93,6.53,9.78,9.3,10.81,1.03
137,1606759200,2,393.87,4.02,47.3,3.53,9.89,10.02,11.64,0.99
138,1606762800,2,410.56,5.7,47.3,1.88,9.78,12.08,13.87,0.98
139,1606766400,2,400.54,4.36,45.24,2.82,9.42,12.42,14.25,0.93
140,1606770000,2,380.52,2.07,42.84,6.8,8.94,11.47,13.23,0.9
141,1606773600,1,350.48,0.55,37.01,15.56,8.11,9.95,11.52,0.9
142,1606777200,1,313.76,0.1,28.79,24.68,6.56,8.56,9.87,0.94
143,1606780800,1,297.07,0.05,23.99,28.61,5.84,8.07,9.21,1.09
144,1606784400,1,293.73,0.04,22.28,30.04,5.78,8.65,9.68,1.28
145,1606788000,1,293.73,0.03,21.42,31.11,5.84,9.53,10.46,1.31
146,1606791600,2,293.73,0.03,20.56,33.26,5.9,10.14,10.98,1.2
147,1606795200,2,293.73,0.02,20.05,35.41,6.02,10.16,10.94,1.03
148,1606798800,1,300.41,0.03,21.25,36.48,6.5,9.99,10.79,0.89
149,1606802400,2,330.45,0.13,29.13,30.76,8.11,10.89,11.83,0.9
150,1606806000,2,370.5,0.38,38.04,22.89,9.66,12.5,13.64,0.99
151,1606809600,2,383.85,0.76,40.44,19.85,10.25,13.71,15.02,1.06
152,1606813200,2,380.52,2.77,36.33,23.6,10.49,14.26,15.63,1.08
153,1606816800,2,360.49,3.69,30.5,29.68,9.78,13.76,15.01,1.06
154,1606820400,2,343.8,3.05,27.08,33.98,9.18,12.59,13.7,1.11
155,1606824000,2,330.45,1.96,25.02,36.48,8.58,11.18,12.17,1.19
156,1606827600,2,353.81,1.87,30.85,30.76,9.18,11.17,12.22,1.31
157,1606831200,2,413.9,2.46,43.87,16.81,10.37,12.83,14.09,1.41
158,1606834800,2,460.63,3.69,54.15,5.68,10.25,14.48,15.94,1.3
159,1606838400,2,480.65,7.6,54.84,1.34,9.66,15.69,17.35,1.24
160,1606842000,2,480.65,10.17,52.09,0.64,9.54,16.71,18.55,1.28
161,1606845600,2,473.98,9.16,50.04,0.85,10.37,17.5,19.46,1.33
162,1606849200,2,447.27,5.7,48.67,1.97,11.92,17.49,19.47,1.28
163,1606852800,2,440.6,4.64,47.98,2.37,13.23,17.88,19.97,1.2
164,1606856400,2,440.6,4.64,46.61,2.19,12.76,18.17,20.39,1.2
165,1606860000,2,440.6,4.14,43.87,2.12,10.97,17.74,20.07,1.12
166,1606863600,2,423.91,2.32,39.41,2.95,8.11,16.46,18.85,0.91
167,1606867200,2,400.54,1.41,34.62,4.34,6.38,15.42,17.81,0.75
168,1606870800,2,393.87,1.43,32.56,4.29,5.78,15.52,17.85,0.67
169,1606874400,2,400.54,1.93,32.22,3.17,5.42,16.16,18.41,0.67
170,1606878000,2,407.22,2.6,30.85,2.19,5.07,16.85,19.16,0.74
171,1606881600,2,413.9,3.55,28.1,1.27,4.77,17.52,20.09,0.95
172,1606885200,2,433.92,6.2,26.05,0.45,7.33,18.88,21.77,2.41
173,1606888800,3,500.68,16.32,26.05,0.04,11.92,22.57,25.75,4.12
174,1606892400,4,587.46,29.06,27.76,0.0,16.69,27.2,30.58,5.32
175,1606896000,4,634.19,35.76,28.79,0.04,19.79,29.98,33.65,5.83
176,1606899600,4,640.87,36.66,28.79,0.62,16.45,30.78,34.8,3.67
177,1606903200,4,547.41,24.14,27.76,3.17,15.02,28.09,31.79,2.19
178,1606906800,4,487.33,18.55,25.71,7.15,13.95,25.77,29.27,1.73
179,1606910400,3,460.63,15.87,23.65,10.01,13.11,23.79,27.17,1.62
180,1606914000,3,427.25,11.29,25.36,12.88,11.8,21.17,24.14,1.49
181,1606917600,3,423.91,7.49,30.85,10.46,11.21,20.08,22.76,1.31
182,1606921200,3,427.25,4.3,38.04,4.34,11.68,20.14,22.68,1.09
183,1606924800,3,433.92,4.53,38.73,2.28,11.44,21.54,24.08,1.25
184,1606928400,3,447.27,5.48,36.33,1.68,12.88,24.22,26.87,2.38
185,1606932000,4,473.98,6.54,34.96,1.13,13.83,27.46,30.29,2.72
186,1606935600,4,494.0,7.26,33.93,0.82,15.74,30.96,34.02,3.14
187,1606939200,4,514.03,7.94,34.96,0.6,17.64,32.81,36.02,3.64
188,1606942800,4,527.38,7.94,37.7,0.64,18.6,32.68,35.92,4.02
189,1606946400,4,514.03,6.04,39.76,1.21,17.88,30.82,33.99,4.18
190,1606950000,4,467.3,1.93,37.36,5.19,14.66,27.09,30.06,4.12
191,1606953600,3,420.57,0.45,30.85,13.23,11.92,23.7,26.46,4.05
192,1606957200,3,393.87,0.18,26.39,20.21,10.97,21.27,23.84,4.12
193,1606960800,2,373.84,0.08,22.96,26.82,10.37,19.07,21.43,4.12
194,1606964400,2,350.48,0.03,19.54,34.33,9.89,16.66,18.88,3.99
195,1606968000,2,330.45,0.02,16.79,41.84,9.66,14.46,16.53,3.74
196,1606971600,2,327.11,0.02,17.65,43.27,10.37,13.71,15.69,3.71
197,1606975200,2,350.48,0.08,25.02,37.55,12.16,14.36,16.38,3.93
198,1606978800,2,380.52,0.21,32.9,30.4,13.83,15.18,17.27,4.18
199,1606982400,2,383.85,0.28,35.64,27.18,14.78,15.19,17.47,4.18
200,1606986000,2,377.18,0.43,34.27,27.54,15.5,15.34,17.73,3.96
201,1606989600,2,353.81,0.44,28.79,33.26,14.31,14.7,16.85,3.36
202,1606993200,2,340.46,0.53,25.36,36.84,12.16,13.34,15.2,2.6
203,1606996800,2,333.79,0.55,23.65,37.91,10.13,12.04,13.7,2.09
204,1607000400,2,337.12,0.75,23.99,37.55,9.78,10.69,12.13,2.19
205,1607004000,1,350.48,0.86,26.73,33.62,9.66,9.86,11.2,2.15
206,1607007600,1,360.49,0.27,29.47,29.33,9.3,9.15,10.43,2.01
207,1607011200,1,367.17,0.2,31.19,26.82,9.06,8.59,9.81,1.84
208,1607014800,1,377.18,0.27,32.56,24.32,9.3,8.9,10.14,1.63
209,1607018400,2,387.19,0.36,33.93,21.64,10.13,10.24,11.6,1.43
210,1607022000,2,387.19,0.35,32.9,21.64,11.33,11.42,12.92,1.47
211,1607025600,2,380.52,0.27,30.85,23.25,12.76,11.33,12.89,1.96
212,1607029200,2,370.5,0.22,29.82,24.68,13.83,10.85,12.41,2.57
213,1607032800,2,353.81,0.13,27.42,27.9,13.47,10.16,11.62,3.04
214,1607036400,1,323.77,0.03,21.42,35.76,11.09,8.95,10.22,3.04
215,1607040000,1,317.1,0.02,17.31,40.05,9.3,8.78,10.06,3.07
216,1607043600,2,343.8,0.03,18.17,33.98,9.42,10.7,12.57,3.17
217,1607047200,2,373.84,0.04,20.74,27.54,10.49,12.6,14.81,3.14
218,1607050800,2,357.15,0.03,16.97,30.4,9.78,11.72,13.29,2.72
219,1607054400,2,333.79,0.02,14.05,33.98,9.78,11.49,12.64,2.09
220,1607058000,2,323.77,0.04,14.05,33.62,10.37,11.58,12.55,1.74
221,1607061600,2,337.12,0.11,18.17,30.76,10.97,12.0,12.96,1.49
222,1607065200,2,353.81,0.2,22.62,27.54,10.25,12.23,13.21,1.09
223,1607068800,2,353.81,0.24,23.65,26.82,7.99,11.87,12.86,0.58
224,1607072400,2,347.14,0.57,21.94,28.61,7.87,10.98,11.94,0.58
225,1607076000,1,343.8,1.01,21.08,29.33,7.87,9.79,10.79,0.67
226,1607079600,1,343.8,1.16,22.28,27.9,8.35,8.95,10.04,0.8
227,1607083200,1,340.46,0.95,22.96,26.82,8.58,8.2,9.37,0.93
228,1607086800,1,343.8,0.82,25.02,25.39,9.18,8.08,9.32,1.03
229,1607090400,1,343.8,0.7,26.05,24.68,9.54,7.89,9.17,0.97
230,1607094000,1,343.8,0.26,26.73,25.03,9.54,7.63,8.93,0.85
231,1607097600,1,347.14,0.23,28.45,23.96,9.42,7.84,9.15,0.77
232,1607101200,1,367.17,0.4,32.56,20.56,9.54,8.85,10.19,0.74
233,1607104800,2,390.53,0.67,35.99,16.63,9.54,10.21,11.63,0.74
234,1607108400,2,400.54,0.75,35.99,15.56,9.42,10.93,12.39,0.74
235,1607112000,2,390.53,0.49,32.56,18.24,8.82,10.74,12.17,0.67
236,1607115600,2,377.18,0.3,27.76,22.17,7.99,10.31,11.7,0.61
237,1607119200,1,350.48,0.12,22.28,27.9,6.68,9.33,10.64,0.54
238,1607122800,1,323.77,0.03,16.11,34.69,5.19,8.1,9.28,0.46
239,1607126400,1,310.42,0.01,12.0,39.7,4.23,7.2,8.31,0.41
240,1607130000,1,303.75,0.01,10.28,42.92,3.87,6.55,7.62,0.4
241,1607133600,1,297.07,0.01,9.43,43.63,3.58,5.98,7.02,0.41
242,1607137200,1,293.73,0.01,8.74,43.63,3.31,5.36,6.37,0.44
243,1607140800,1,290.39,0.01,8.48,44.7,3.25,4.96,5.93,0.49
244,1607144400,1,293.73,0.01,9.17,45.78,3.67,4.83,5.77,0.55
245,1607148000,1,307.08,0.02,13.02,45.06,4.77,5.12,6.06,0.71
246,1607151600,1,323.77,0.02,17.31,44.7,5.78,5.43,6.37,0.85
247,1607155200,1,327.11,0.07,20.05,45.06,6.38,5.71,6.68,0.9
248,1607158800,1,327.11,0.79,20.05,47.21,6.56,5.84,6.85,0.9
249,1607162400,1,317.1,1.47,17.82,50.07,6.14,5.57,6.6,0.94
250,1607166000,1,313.76,1.23,16.62,50.07,6.14,5.33,6.39,1.14
251,1607169600,1,327.11,0.8,18.51,46.49,6.68,5.24,6.33,1.43
252,1607173200,1,363.83,0.73,26.73,35.05,7.45,5.72,6.82,1.77
253,1607176800,1,413.9,1.01,39.41,19.49,8.35,7.26,8.55,1.98
254,1607180400,2,460.63,2.21,50.04,7.42,8.82,8.93,10.47,1.81
255,1607184000,2,567.44,16.32,56.89,0.39,9.3,12.92,14.85,1.47
256,1607187600,2,727.65,42.92,59.63,0.0,10.49,19.67,22.07,1.36
257,1607191200,4,881.2,65.27,63.06,0.0,12.88,26.91,29.77,1.66
258,1607194800,4,947.95,71.53,65.12,0.0,13.47,30.86,33.89,1.77
259,1607198400,4,854.49,53.64,61.69,0.0,10.01,26.78,29.55,1.28
260,1607202000,2,660.9,28.61,52.78,0.03,6.97,18.77,21.02,0.93
261,1607205600,2,453.95,4.69,40.78,4.02,4.47,11.08,12.6,0.67
262,1607209200,1,360.49,0.37,25.02,14.84,2.53,8.37,9.59,0.59
263,1607212800,1,317.1,0.18,18.68,16.45,1.77,7.48,8.65,0.57
264,1607216400,1,287.06,0.03,12.0,27.18,2.03,7.78,9.05,0.47
265,1607220000,1,280.38,0.01,8.74,34.69,2.41,8.62,9.89,0.44
266,1607223600,1,277.04,0.01,7.63,37.91,2.68,8.68,9.75,0.4
267,1607227200,1,273.71,0.01,6.94,41.13,2.95,8.01,8.97,0.36
268,1607230800,1,270.37,0.01,7.2,43.27,3.22,7.76,8.72,0.36
269,1607234400,1,283.72,0.02,10.11,42.56,3.99,8.34,9.36,0.4
270,1607238000,1,290.39,0.02,12.51,41.49,4.47,8.63,9.63,0.44
271,1607241600,1,293.73,0.03,13.02,41.13,4.65,8.54,9.54,0.46
272,1607245200,1,287.06,0.1,12.34,42.2,4.89,8.29,9.28,0.48
273,1607248800,1,277.04,0.19,10.97,45.06,5.25,7.92,8.92,0.45
274,1607252400,1,273.71,0.47,10.11,45.78,5.72,7.69,8.75,0.48
275,1607256000,1,270.37,0.69,9.85,46.49,6.14,7.47,8.58,0.55
276,1607259600,1,270.37,0.71,10.63,47.92,6.56,7.23,8.3,0.6
277,1607263200,1,273.71,0.43,11.82,48.64,6.86,7.21,8.24,0.64
278,1607266800,1,273.71,0.05,12.68,47.92,6.8,7.51,8.54,0.64
279,1607270400,1,273.71,0.01,13.54,45.78,6.8,7.92,9.0,0.64
280,1607274000,1,277.04,0.01,13.71,43.63,6.32,8.27,9.41,0.63
281,1607277600,1,283.72,0.01,13.2,42.56,5.6,8.68,9.84,0.59
282,1607281200,1,287.06,0.01,12.17,44.35,5.01,8.63,9.74,0.56
283,1607284800,1,283.72,0.01,10.8,45.78,4.47,7.87,8.94,0.58
284,1607288400,1,280.38,0.01,9.77,46.49,4.11,7.08,8.13,0.59
285,1607292000,1,273.71,0.0,8.48,48.64,3.76,6.46,7.49,0.56
286,1607295600,1,260.35,0.0,6.51,51.5,3.25,5.84,6.83,0.54
287,1607299200,1,253.68,0.0,6.17,52.93,3.43,5.52,6.47,0.56
288,1607302800,1,250.34,0.0,5.83,54.36,3.49,5.05,5.97,0.59
289,1607306400,1,250.34,0.0,5.57,55.79,3.34,4.45,5.3,0.63
290,1607310000,1,247.0,0.0,5.18,56.51,3.04,3.92,4.72,0.67
291,1607313600,1,247.0,0.0,5.14,57.22,2.89,3.53,4.31,0.71
292,1607317200,1,250.34,0.0,6.0,56.51,3.1,3.45,4.26,0.76
293,1607320800,1,263.69,0.0,9.25,53.64,4.11,3.85,4.76,0.88
294,1607324400,1,273.71,0.01,12.0,52.21,5.07,4.06,5.01,0.97
295,1607328000,1,273.71,0.01,13.02,52.21,6.08,3.65,4.55,1.03
296,1607331600,1,267.03,0.04,13.02,51.5,6.44,3.03,3.88,1.08
297,1607335200,1,260.35,0.03,11.82,50.78,5.42,2.43,3.2,1.01
298,1607338800,1,260.35,0.06,12.0,48.64,5.25,2.24,2.98,0.93
299,1607342400,1,270.37,0.08,13.88,45.78,6.2,2.43,3.23,0.9
300,1607346000,1,300.41,0.19,22.62,35.76,8.82,3.37,4.45,1.2
301,1607349600,1,343.8,0.42,32.56,21.28,10.13,4.56,5.87,1.55
302,1607353200,1,397.21,1.73,39.41,7.69,10.25,5.86,7.21,1.57
303,1607356800,2,507.36,16.09,43.53,0.39,10.61,9.41,10.99,1.33
304,1607360400,2,694.28,48.28,45.24,0.0,12.04,16.52,18.68,1.2
305,1607364000,4,907.9,81.36,47.3,0.0,15.02,25.93,28.81,1.44
306,1607367600,4,1121.52,112.65,48.67,0.0,20.03,36.22,39.92,2.15
307,1607371200,4,1308.44,137.69,50.04,0.0,27.66,45.2,49.57,3.39
308,1607374800,5,1441.96,155.57,50.72,0.0,37.19,52.65,57.43,5.0
309,1607378400,5,1428.6,153.78,49.35,0.0,37.19,53.59,58.08,5.38
310,1607382000,4,1174.93,116.23,44.55,0.0,19.07,42.41,45.87,2.91
311,1607385600,4,847.82,66.16,40.1,0.0,8.11,27.63,30.16,1.2
312,1607389200,2,614.17,30.4,37.7,0.0,4.65,17.29,19.15,0.62
313,1607392800,2,527.38,17.43,35.99,0.0,3.76,13.29,14.88,0.58
314,1607396400,2,500.68,11.85,34.27,0.0,3.46,11.65,13.1,0.57
315,1607400000,2,413.9,3.1,30.5,2.08,4.11,10.25,11.5,0.52
316,1607403600,1,340.46,0.8,22.28,8.85,4.11,8.6,10.02,0.55
317,1607407200,1,337.12,0.81,22.28,12.88,5.6,8.72,10.31,0.63
318,1607410800,1,357.15,0.95,26.39,13.41,6.8,9.64,11.34,0.67
319,1607414400,2,370.5,1.15,29.82,12.7,7.57,10.12,11.93,0.74
320,1607418000,1,373.84,2.96,28.79,15.02,8.46,9.97,11.81,0.79
321,1607421600,1,367.17,5.09,26.05,19.67,9.54,9.22,11.07,0.8
322,1607425200,1,340.46,4.75,23.31,23.6,9.89,7.49,9.27,0.83
323,1607428800,1,313.76,3.47,20.91,26.82,9.78,5.84,7.45,0.92
324,1607432400,1,307.08,2.63,22.28,26.82,9.89,5.37,6.81,1.0
325,1607436000,1,327.11,2.12,28.79,19.49,10.37,6.22,7.7,1.06
326,1607439600,1,337.12,1.03,32.9,13.05,9.42,6.77,8.36,0.98
327,1607443200,1,340.46,1.1,31.87,11.09,7.45,6.97,8.64,0.9
328,1607446800,1,350.48,1.38,31.19,9.92,6.26,7.34,9.06,0.88
329,1607450400,1,363.83,1.75,32.22,8.67,6.32,8.15,9.93,0.88
330,1607454000,1,373.84,1.75,32.56,8.76,6.44,8.8,10.64,0.86
331,1607457600,1,370.5,1.36,31.53,10.28,6.26,9.1,10.96,0.82
332,1607461200,1,370.5,1.15,30.85,11.44,6.14,9.52,11.41,0.79
333,1607464800,1,357.15,0.65,27.42,14.84,5.48,9.21,11.06,0.72
334,1607468400,1,317.1,0.13,19.36,23.25,3.87,7.67,9.37,0.59
335,1607472000,1,290.39,0.05,13.88,29.33,3.16,6.76,8.36,0.52
336,1607475600,1,280.38,0.03,11.48,32.9,3.22,6.64,7.96,0.43
337,1607479200,1,280.38,0.02,10.45,34.69,3.22,6.7,7.7,0.39
338,1607482800,1,290.39,0.02,10.63,34.33,3.16,7.9,8.85,0.35
339,1607486400,2,323.77,0.03,13.2,31.11,3.25,12.55,13.78,0.28
