Country,year,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths
Faroe Islands,2020,605,0,605,0
Faroe Islands,2021,165,1,770,1
Fiji,2020,49,2,49,2
Fiji,2021,2799,11,2848,13
Finland,2020,35858,556,35858,556
Finland,2021,58861,413,94719,969
France,2020,2564972,64004,2564972,64004
France,2021,3090404,45997,5655376,110001
French Guiana,2020,13045,71,13045,71
French Guiana,2021,13995,71,27040,142
French Polynesia,2020,16851,114,16851,114
French Polynesia,2021,2141,28,18992,142
Gabon,2020,9571,64,9571,64
Gabon,2021,15387,95,24958,159
Gambia,2020,3797,124,3797,124
Gambia,2021,2268,57,6065,181
Georgia,2020,227420,2505,227420,2505
Georgia,2021,134763,2732,362183,5237
Germany,2020,1719737,33071,1719737,33071
Germany,2021,2005843,57607,3725580,90678
Ghana,2020,54771,335,54771,335
Ghana,2021,40488,459,95259,794
Gibraltar,2020,1785,6,1785,6
Gibraltar,2021,2547,88,4332,94
Greece,2020,137918,4788,137918,4788
Greece,2021,281991,7825,419909,12613
Greenland,2020,27,0,27,0
Greenland,2021,23,0,50,0
Grenada,2020,130,1,130,1
Grenada,2021,31,0,161,1
Guadeloupe,2020,8620,155,8620,155
Guadeloupe,2021,8807,111,17427,266
Guam,2020,7129,121,7129,121
Guam,2021,931,18,8060,139
Guatemala,2020,137166,4803,137166,4803
Guatemala,2021,147575,4042,284741,8845
Guernsey,2020,297,16,297,16
Guernsey,2021,531,1,828,17
Guinea,2020,13707,80,13707,80
Guinea,2021,9908,88,23615,168
Guinea-Bissau,2020,2447,45,2447,45
Guinea-Bissau,2021,1397,24,3844,69
Guyana,2020,6301,164,6301,164
Guyana,2021,13058,290,19359,454
Haiti,2020,9999,236,9999,236
Haiti,2021,7964,164,17963,400
Holy See,2020,26,0,26,0
Holy See,2021,0,0,26,0
Honduras,2020,120912,3111,120912,3111
Honduras,2021,134751,3733,255663,6844
Hungary,2020,322514,9537,322514,9537
Hungary,2021,485396,20359,807910,29896
Iceland,2020,5754,29,5754,29
Iceland,2021,883,1,6637,30
India,2020,10266674,148738,10266674,148738
India,2021,19867771,244572,30134445,393310
Indonesia,2020,743198,22138,743198,22138
Indonesia,2021,1329669,34233,2072867,56371
Iran (Islamic Republic of),2020,1218753,55095,1218753,55095
Iran (Islamic Republic of),2021,1921376,28378,3140129,83473
Iraq,2020,594442,12808,594442,12808
Iraq,2021,716651,4191,1311093,16999
Ireland,2020,88787,2185,88787,2185
Ireland,2021,181310,2794,270097,4979
Isle of Man,2020,374,25,374,25
Isle of Man,2021,1229,4,1603,29
Israel,2020,426038,3372,426038,3372
Israel,2021,414484,3057,840522,6429
Italy,2020,2083689,73604,2083689,73604
Italy,2021,2172011,53758,4255700,127362
Jamaica,2020,12793,302,12793,302
Jamaica,2021,37048,747,49841,1049
Japan,2020,230304,3414,230304,3414
Japan,2021,560778,11184,791082,14598
Jersey,2020,2707,41,2707,41
Jersey,2021,632,28,3339,69
Jordan,2020,293067,3815,293067,3815
Jordan,2021,455618,5888,748685,9703
Kazakhstan,2020,201313,2749,201313,2749
Kazakhstan,2021,267085,4917,468398,7666
Kenya,2020,96251,1667,96251,1667
